intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
acc_phonH*,150.06,65.90589180146218,234.21410516347464,28.407,5.282,3.44,0.009254609582069005,NA,NA
acc_phon>H*,192.502,109.50782240949403,275.4951849432101,28.893,6.662,3.69,0.003509484031393783,NA,NA
acc_phonL*H,227.072,142.33088064639435,311.8128009176141,28.194,8.054,3.34,0.0026648798679013764,NA,NA
ana_syls0,150.06,65.90589180146218,234.21410516347464,28.407,5.282,3.44,0.009254609582069005,NA,NA
ana_syls1,83.128,42.24573043228637,124.01085099359142,17.29,4.808,7,0.0019469910268639142,NA,NA
ana_syls2,146.467,64.0241954064914,228.90972092545388,29.157,5.023,3.82,0.008286738318253363,NA,NA
ana_syls3,159.435,76.98500961494457,241.88539993547718,29.153,5.469,3.82,0.006198574103094129,NA,NA
foot_syls1,150.06,65.90589180146218,234.21410516347464,28.407,5.282,3.44,0.009254609582069005,NA,NA
foot_syls2,181.042,96.49457877649452,265.5891697123757,28.289,6.4,3.38,0.0053308338215766705,NA,NA
foot_syls3,205.625,121.59950348978064,289.6499683516835,28.455,7.226,3.47,0.003305852852157237,NA,NA
foot_syls4,219.345,136.51219900105968,302.1774447790441,28.964,7.573,3.72,0.0021618698540381872,NA,NA
wrd_end_syl1,150.06,65.90589180146218,234.21410516347464,28.407,5.282,3.44,0.009254609582069005,NA,NA
wrd_end_syl2,136.058,53.64137123736795,218.474904213306,29.183,4.662,3.84,0.010586885300475373,NA,NA
wrd_end_syl3,163.698,82.55668473424116,244.84027737778717,30.009,5.455,4.29,0.00447253213763227,NA,NA
