intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
acc_phonH*,acc_phon>H*,42.442,28.249621009006944,56.633389374897405,7.229,5.871,707.35,6.644900527285539e-9,NA,NA
acc_phonH*,acc_phonL*H,77.012,66.52966148723044,87.4940230879206,5.339,14.424,716.28,1.3594759256751998e-41,NA,NA
acc_phon>H*,acc_phonL*H,34.57,21.191616178885145,47.949058009831006,6.814,5.073,708.8,5.002085110282346e-7,NA,NA
ana_syls0,ana_syls1,-66.932,-170.40667030746792,36.54325498864583,29.463,-2.272,2.56,0.12272374263567967,NA,NA
ana_syls0,ana_syls2,-3.593,-132.80248939155214,125.61640868733164,37.528,-0.096,2.64,0.9305197343487386,NA,NA
ana_syls0,ana_syls3,9.375,-119.79736860199147,138.54778118346482,37.534,0.25,2.64,0.8208996518650944,NA,NA
ana_syls1,ana_syls2,63.339,-36.25151302078653,162.928847920306,30.175,2.099,2.82,0.1324449334017562,NA,NA
ana_syls1,ana_syls3,76.307,-23.284609677549327,175.89843773834113,30.175,2.529,2.82,0.0908591001056478,NA,NA
ana_syls2,ana_syls3,12.968,-115.30988791517228,141.24638106381127,37.692,0.344,2.69,0.755943988534643,NA,NA
foot_syls1,foot_syls2,30.982,18.82972817920368,43.1340233384461,6.189,5.006,695.66,7.062352202272715e-7,NA,NA
foot_syls1,foot_syls3,55.565,41.143306954047475,69.98616792445344,7.345,7.565,679.97,1.262518599516876e-13,NA,NA
foot_syls1,foot_syls4,69.285,52.77186785820082,85.79777895459371,8.41,8.238,689.12,8.803193439236905e-16,NA,NA
foot_syls2,foot_syls3,24.583,10.673963040160992,38.49176031167706,7.082,3.471,602.96,5.554941238645861e-4,NA,NA
foot_syls2,foot_syls4,38.303,21.910415306782706,54.695479979712715,8.349,4.588,688.79,5.323810752266473e-6,NA,NA
foot_syls3,foot_syls4,13.72,0.2617122960074916,27.17845963915303,6.855,2.002,690.1,0.04572007410590023,NA,NA
wrd_end_syl1,wrd_end_syl2,-14.002,-25.651101270201856,-2.3526202447955136,5.933,-2.36,701.29,0.018554771769499146,NA,NA
wrd_end_syl1,wrd_end_syl3,13.638,-5.546183121020038,32.82314827171738,9.771,1.396,702.71,0.16322972387862691,NA,NA
wrd_end_syl2,wrd_end_syl3,27.64,12.326169389184876,42.95451727396081,7.8,3.544,707.62,4.206815017575885e-4,NA,NA
intercept,genderM,-73.537,-105.3331887226401,-41.741374180927785,14.086,-5.22,9.13,5.237237642846648e-4,NA,NA
