intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,85.716,82.55284032965055,88.87864724362585,1.469,58.349,13.45,1.4374735868436464e-17,NA,NA
ana_syls1,86.178,83.07779021219233,89.27752582185599,1.434,60.115,12.88,3.6514462800051484e-17,NA,NA
ana_syls2,85.203,82.02042818476782,88.38618433717214,1.484,57.415,14,5.103344761307855e-18,NA,NA
ana_syls3,85.061,81.87775860052444,88.24459512099908,1.484,57.304,14.01,5.068732635300737e-18,NA,NA
foot_syls1,85.716,82.55284032965055,88.87864724362585,1.469,58.349,13.45,1.4374735868436464e-17,NA,NA
foot_syls2,85.612,82.43992295382208,88.78468671480465,1.475,58.025,13.64,1.002781887922929e-17,NA,NA
foot_syls3,85.674,82.49299987375133,88.8559772205393,1.483,57.788,13.92,5.5456292326773694e-18,NA,NA
foot_syls4,85.705,82.51677795172817,88.89275919959572,1.488,57.604,14.15,3.4872503959811826e-18,NA,NA
wrd_end_syl1,85.716,82.55284032965055,88.87864724362585,1.469,58.349,13.45,1.4374735868436464e-17,NA,NA
wrd_end_syl2,85.511,82.3299963261872,88.69143333454073,1.482,57.681,13.95,5.357448301561023e-18,NA,NA
wrd_end_syl3,85.311,82.10770071453427,88.51420920000706,1.499,56.912,14.57,1.585712442813848e-18,NA,NA
