intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,ana_syls1,0.516,0.257939795634664,0.774190670724616,0.131,3.928,477.03,9.810958305882088e-5,NA,NA
ana_syls0,ana_syls2,-0.392,-0.820099378233606,0.03682568411704801,0.218,-1.796,477.02,0.07311681339119942,NA,NA
ana_syls0,ana_syls3,-0.532,-0.9653875096710773,-0.09818200041593866,0.221,-2.41,477.02,0.016335389491888085,NA,NA
ana_syls1,ana_syls2,-0.908,-1.3483907853141919,-0.4670133751549755,0.224,-4.047,477.02,6.04452373388414e-5,NA,NA
ana_syls1,ana_syls3,-1.048,-1.4924569469248519,-0.6032430295150595,0.226,-4.631,477.02,4.699290767834232e-6,NA,NA
ana_syls2,ana_syls3,-0.14,-0.6189783098877175,0.3386824939172064,0.244,-0.575,477.01,0.5654832268246617,NA,NA
foot_syls1,foot_syls2,-0.04,-0.5221658722380569,0.4419257666898118,0.245,-0.164,477.04,0.8701623852685265,NA,NA
foot_syls1,foot_syls3,0.281,-0.17040242141830947,0.7329820419426403,0.23,1.224,477.07,0.2216825123306381,NA,NA
foot_syls1,foot_syls4,0.019,-0.5519574727194225,0.590440146374624,0.291,0.066,477.04,0.9472534495252503,NA,NA
foot_syls2,foot_syls3,0.321,-0.1316758425950849,0.7744955686686824,0.231,1.394,477.07,0.16399816639743847,NA,NA
foot_syls2,foot_syls4,0.059,-0.5132200390710071,0.6319428182596925,0.291,0.204,477.04,0.8386648699830923,NA,NA
foot_syls3,foot_syls4,-0.262,-0.6164011022399551,0.09230415535926068,0.18,-1.453,477.02,0.1468517656197545,NA,NA
wrd_end_syl1,wrd_end_syl2,-0.201,-0.5815795321855559,0.1804878664207957,0.194,-1.034,477.05,0.3015699296428673,NA,NA
wrd_end_syl1,wrd_end_syl3,-0.286,-0.8815936234038977,0.30979111233097445,0.303,-0.943,477.05,0.3461208704328088,NA,NA
wrd_end_syl2,wrd_end_syl3,-0.085,-0.5488577446692261,0.37814689935802176,0.236,-0.362,477.08,0.7176231646229473,NA,NA
intercept,acc_phonL*H,0.087,-0.8072748795051768,0.9810576384991684,0.455,0.191,477.16,0.848649488005115,NA,NA
