intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,114.497,73.97424240857305,155.01933685363784,20.027,5.717,38.55,1.3273334210781985e-6,NA,NA
ana_syls1,61.417,37.328942197016104,85.50437742987633,12.227,5.023,237.81,9.99553514116867e-7,NA,NA
ana_syls2,101.298,75.10657282565414,127.48957718178953,13.307,7.613,285.67,3.9388954491976383e-13,NA,NA
ana_syls3,111.191,85.05647800005356,137.3246281945348,13.277,8.375,282.76,2.6053812428098897e-15,NA,NA
foot_syls1,114.497,73.97424240857305,155.01933685363784,20.027,5.717,38.55,1.3273334210781985e-6,NA,NA
foot_syls2,111.824,70.88742991547923,152.7611698796461,20.249,5.523,39.61,2.27701064599916e-6,NA,NA
foot_syls3,117.384,76.01344916873258,158.75484109239005,20.497,5.727,41.78,9.965979028468177e-7,NA,NA
foot_syls4,150.144,107.86094272957916,192.42642306324154,21.002,7.149,45.71,5.6359310531495435e-9,NA,NA
wrd_end_syl1,114.497,73.97424240857305,155.01933685363784,20.027,5.717,38.55,1.3273334210781985e-6,NA,NA
wrd_end_syl2,110.897,69.19974149638597,152.59394541376935,20.688,5.36,43.89,2.9270201938854454e-6,NA,NA
wrd_end_syl3,96.763,53.71986101002114,139.80645676126233,21.436,4.514,50.55,3.823099524221137e-5,NA,NA
