intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,ana_syls1,-53.08,-87.99441384903137,-18.165845671830525,16.562,-3.205,17.18,0.005137278769489164,NA,NA
ana_syls0,ana_syls2,-13.199,-49.158872180946815,22.761442981095826,17.226,-0.766,19.76,0.452603252119243,NA,NA
ana_syls0,ana_syls3,-3.306,-39.22276477636612,32.61029174350898,17.209,-0.192,19.84,0.8496008049827484,NA,NA
ana_syls1,ana_syls2,39.881,27.008383709453433,52.75444681437828,6.536,6.102,246.84,4.027020787525976e-9,NA,NA
ana_syls1,ana_syls3,49.774,37.01795618236503,62.52983049040291,6.48,7.681,276.37,2.742363116220412e-13,NA,NA
ana_syls2,ana_syls3,9.892,-3.881276290207504,23.666232468300855,6.995,1.414,264.99,0.1584979380321137,NA,NA
foot_syls1,foot_syls2,-2.672,-15.227649785214767,9.88267036036932,6.389,-0.418,463.98,0.6759295151005983,NA,NA
foot_syls1,foot_syls3,2.887,-8.931020691746532,14.705731752745614,6.015,0.48,475.85,0.6314045040465099,NA,NA
foot_syls1,foot_syls4,35.647,20.58135373430474,50.71243313749979,7.667,4.649,479.66,4.31258777457114e-6,NA,NA
foot_syls2,foot_syls3,5.56,-6.134909791374924,17.25460021570818,5.951,0.934,443.63,0.3506354986144493,NA,NA
foot_syls2,foot_syls4,38.319,23.41978536145769,53.21898078862014,7.582,5.054,461.49,6.248634077323296e-7,NA,NA
foot_syls3,foot_syls4,32.76,23.571513027877213,41.94756273186269,4.676,7.007,461.82,8.690022074619137e-12,NA,NA
wrd_end_syl1,wrd_end_syl2,-3.6,-13.444977717926959,6.245085547540997,5.01,-0.719,457.67,0.4727645295965639,NA,NA
wrd_end_syl1,wrd_end_syl3,-17.734,-32.939913536682695,-2.527348064513971,7.737,-2.292,438.29,0.022376134978676833,NA,NA
wrd_end_syl2,wrd_end_syl3,-14.134,-25.81045808530078,-2.456911093429248,5.94,-2.379,416.65,0.017796355745756633,NA,NA
intercept,acc_phonL*H,-29.254,-51.78774335153225,-6.720228562488337,11.465,-2.552,429.01,0.01106625789004416,NA,NA
intercept,genderM,-74.285,-89.87552725640468,-58.693738601814644,6.982,-10.639,9.85,1.023485092766024e-6,NA,NA
