intercept,slope,estimate,conf.low,conf.high,std.error,z.value,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,0.92,0.31668124290247424,1.5223392338920023,0.308,2.99,0.003,0.007,p<0.01
foot_syls1,foot_syls3,-0.839,-1.5489969039661344,-0.12991742298368503,0.362,-2.319,0.02,0.033,p<0.05
foot_syls1,foot_syls4,-1.379,-2.672948889605895,-0.08559298615164534,0.66,-2.09,0.037,0.053,
foot_syls2,foot_syls3,-1.717,-2.3626635057091456,-1.0705901674653018,0.33,-5.208,1.9e-07,1.9e-06,p<0.001
foot_syls2,foot_syls4,-2.218,-3.4793928202819036,-0.9571827515784276,0.643,-3.448,5.7e-04,0.001,p<0.01
foot_syls3,foot_syls4,-0.577,-1.6577180211660274,0.5037768357024912,0.551,-1.046,0.295,0.347,
wrd_end_syl1,wrd_end_syl2,-2.313,-3.3548927502152432,-1.271744441510558,0.531,-4.353,1.3e-05,6.5e-05,p<0.001
wrd_end_syl1,wrd_end_syl3,-3.02,-6.195064999172557,0.15601684259038162,1.62,-1.864,0.062,0.083,
wrd_end_syl2,wrd_end_syl3,-1.469,-5.735509036510978,2.797439623366465,2.177,-0.675,0.5,0.556,
intercept,genderM,2.317,0.6204522400851917,4.013266198581135,0.866,2.677,0.007,0.014,p<0.05
