intercept,slope,estimate,conf.low,conf.high,std.error,z.value,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,3.023,0.7466992126912062,12.236691446172648,2.156,1.551,0.12101330644376987,NA,NA
foot_syls1,foot_syls3,11.183,2.543849685663561,49.164247417880006,8.449,3.196,0.0013943736801700249,NA,NA
foot_syls1,foot_syls4,12.367,1.7768154561794214,86.08326761392895,12.243,2.541,0.01106534782474147,NA,NA
foot_syls2,foot_syls3,3.705,1.097579698884896,12.506539828109283,2.3,2.11,0.034861352299322225,NA,NA
foot_syls2,foot_syls4,4.415,0.8461882663153485,23.039113239010813,3.722,1.762,0.07809827379955318,NA,NA
foot_syls3,foot_syls4,1.337,0.329877843909781,5.419841340439227,0.955,0.407,0.6841203936293841,NA,NA
wrd_end_syl1,wrd_end_syl2,14.05,3.942860499571373,50.064456462083925,9.109,4.076,4.581156274648413e-5,NA,NA
wrd_end_syl1,wrd_end_syl3,19.267,2.1001656984809958,176.7606279828508,21.788,2.616,0.008893207269622743,NA,NA
wrd_end_syl2,wrd_end_syl3,1.93,0.2942929775692992,12.662520148255831,1.853,0.685,0.4931062361827831,NA,NA
intercept,speech_rate,0.365,0.21957187939374953,0.607835652861269,0.095,-3.877,1.0593801794322351e-4,NA,NA
intercept,genderM,0.203,0.020852340112704464,1.974068512675356,0.236,-1.374,0.16941219107692673,NA,NA
