intercept,estimate,conf.low,conf.high,std.error,z.value,p.value,p.adj (BH),signif.
foot_syls1,4.38,-0.10450905225884544,8.86358009818387,2.288,1.914,0.056,0.056,
foot_syls2,5.928,1.1078444874817714,10.748321749926044,2.459,2.41,0.016,0.023,p<0.05
foot_syls3,7.329,2.5164099344827644,12.141468095032808,2.455,2.985,0.003,0.009,p<0.01
foot_syls4,7.011,1.9810037802129283,12.041797126908728,2.567,2.732,0.006,0.014,p<0.05
wrd_end_syl1,4.38,-0.10450905225884544,8.86358009818387,2.288,1.914,0.056,0.056,
wrd_end_syl2,7.295,2.610670761793143,11.979436117814949,2.39,3.052,0.002,0.008,p<0.01
wrd_end_syl3,8.099,3.0577328150681824,13.14046612474895,2.572,3.149,0.002,0.007,p<0.01
ana_syls0,4.38,-0.10450905225884544,8.86358009818387,2.288,1.914,0.056,0.056,
ana_syls1,4.044,0.6986404625319169,7.390067638216396,1.707,2.369,0.018,0.023,p<0.05
ana_syls2,8.281,3.1553850191580377,13.407210815142935,2.615,3.166,0.002,0.007,p<0.01
ana_syls3,8.743,3.5224128281861606,13.96313193078399,2.663,3.282,0.001,0.007,p<0.01
