intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,1.241,-5.483185047089744,7.965864146043144,1.313,0.945,1.7,0.459,0.479,
foot_syls2,1.781,-5.126764503419871,8.688608516510962,1.301,1.369,1.65,0.328,0.379,
foot_syls3,2.035,-4.54231595892125,8.611357960214958,1.321,1.54,1.74,0.281,0.361,
foot_syls4,1.754,-4.853700809240294,8.361375617496105,1.32,1.328,1.73,0.332,0.379,
ana_syls0,1.241,-5.483185047089744,7.965864146043144,1.313,0.945,1.7,0.459,0.479,
ana_syls1,1.165,-0.8856546325309332,3.2152023213863554,0.578,2.016,2.53,0.154,0.211,
ana_syls2,2.661,-4.596139597361031,9.918514786635193,0.785,3.389,1.16,0.155,0.211,
ana_syls3,2.223,-5.019185318253948,9.465190685566046,0.786,2.83,1.16,0.188,0.251,
wrd_end_syl1,1.241,-5.483185047089744,7.965864146043144,1.313,0.945,1.7,0.459,0.479,
wrd_end_syl2,1.463,-5.07099501528309,7.996018593435567,1.325,1.103,1.76,0.398,0.434,
wrd_end_syl3,1.714,-4.522314894659115,7.949983513831655,1.338,1.28,1.85,0.338,0.38,
