intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,0.107,-0.2928336144365281,0.5073325643817308,0.204,0.527,453.18,0.599,0.781,
foot_syls1,foot_syls3,0.59,0.1818501618462829,0.997858859276697,0.208,2.841,455.38,0.005,0.025,p<0.05
foot_syls1,foot_syls4,0.423,-0.01309859498350846,0.8590489479707482,0.222,1.906,439.37,0.057,0.173,
foot_syls2,foot_syls3,0.483,0.08371903372718237,0.881491163586286,0.203,2.378,463.15,0.018,0.066,
foot_syls2,foot_syls4,0.316,-0.1332149945834355,0.7646664938180072,0.228,1.382,451.62,0.168,0.385,
foot_syls3,foot_syls4,-0.167,-0.4934243032140513,0.15966576111547578,0.166,-1.004,464.46,0.316,0.592,
ana_syls0,ana_syls1,0.231,-7.83048177848202,8.291946990781426,1.187,0.194,1.38,0.871,0.906,
ana_syls0,ana_syls2,2.03,-7.716376816407506,11.776651635394138,1.556,1.305,1.46,0.361,0.616,
ana_syls0,ana_syls3,1.603,-8.15085134911589,11.35727225569212,1.556,1.031,1.46,0.444,0.648,
ana_syls1,ana_syls2,1.799,-3.866851761372584,7.465653683222197,1.005,1.79,1.57,0.248,0.511,
ana_syls1,ana_syls3,1.372,-4.300015635845578,7.044963637922623,1.005,1.366,1.57,0.335,0.595,
ana_syls2,ana_syls3,-0.427,-8.314833834688201,7.460979922958539,1.192,-0.358,1.41,0.767,0.878,
wrd_end_syl1,wrd_end_syl2,0.104,-0.1794791881977736,0.3877301310727566,0.144,0.721,459.93,0.471,0.656,
wrd_end_syl1,wrd_end_syl3,1.063,0.60772388441098,1.517869226683819,0.232,4.589,462.79,5.7e-06,5.9e-05,p<0.001
wrd_end_syl2,wrd_end_syl3,0.959,0.5985388679459619,1.3188033584365724,0.183,5.231,467.3,2.6e-07,5.4e-06,p<0.001
intercept,pn_new_word0,0.941,-4.680375328975219,6.563224729065106,1.007,0.935,1.59,0.47,0.656,
intercept,genderM,0.513,-0.07016762609407678,1.097157544927402,0.259,1.983,9.21,0.078,0.223,
