intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
acc_phonL*H,87.723,84.56755350240424,90.87754881280864,1.424,61.611,10.43,1.1e-14,3.8e-14,p<0.001
acc_phon>H*,87.821,84.65513383035251,90.9859942883734,1.434,61.247,10.74,5.2e-15,2.4e-14,p<0.001
acc_phonH*,87.766,84.6157648427815,90.91664543699716,1.421,61.78,10.36,1.2e-14,3.9e-14,p<0.001
ana_syls0,87.723,84.56755350240424,90.87754881280864,1.424,61.611,10.43,1.1e-14,3.8e-14,p<0.001
ana_syls1,88.338,85.51279252761098,91.16277227529302,1.288,68.57,11.35,3.2e-16,7.4e-15,p<0.001
ana_syls2,88.485,85.5677252962022,91.4020157961853,1.34,66.041,12.08,7.9e-17,2.9e-15,p<0.001
ana_syls3,87.78,84.86219570285361,90.6975645004563,1.34,65.493,12.1,8.4e-17,2.9e-15,p<0.001
foot_syls1,87.723,84.56755350240424,90.87754881280864,1.424,61.611,10.43,1.1e-14,3.8e-14,p<0.001
foot_syls2,87.999,84.85530172414084,91.14276569269526,1.416,62.146,10.27,1.4e-14,4.4e-14,p<0.001
foot_syls3,88.537,85.36010751338223,91.7139587913051,1.445,61.272,11.1,2.1e-15,2.3e-14,p<0.001
foot_syls4,88.437,85.27007525431199,91.60482817065112,1.435,61.608,10.78,4.4e-15,2.4e-14,p<0.001
wrd_end_syl1,87.723,84.56755350240424,90.87754881280864,1.424,61.611,10.43,1.1e-14,3.8e-14,p<0.001
wrd_end_syl2,87.77,84.60327219645681,90.93630672770593,1.435,61.178,10.75,5.1e-15,2.4e-14,p<0.001
wrd_end_syl3,88.238,85.04059031864732,91.43589415210572,1.463,60.325,11.65,6.6e-16,1.1e-14,p<0.001
