intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
acc_phonL*H,197.346,90.90847024957608,303.7833045786706,41.71,4.731,5.12,0.005,0.008,p<0.01
acc_phon>H*,160.772,54.441849226565765,267.10263113464606,42.005,3.827,5.27,0.011,0.016,p<0.05
acc_phonH*,121.958,15.5465426627526,228.37016990981897,41.779,2.919,5.16,0.032,0.046,p<0.05
ana_syls0,197.346,90.90847024957608,303.7833045786706,41.71,4.731,5.12,0.005,0.008,p<0.01
ana_syls1,161.516,87.7519025531347,235.28059859100176,29.781,5.423,5.71,0.002,0.005,p<0.01
ana_syls2,222.847,111.23096519952144,334.4629710489678,43.633,5.107,5.08,0.004,0.007,p<0.01
ana_syls3,234.472,122.85497892904758,346.08954277942223,43.664,5.37,5.09,0.003,0.006,p<0.01
foot_syls1,197.346,90.90847024957608,303.7833045786706,41.71,4.731,5.12,0.005,0.008,p<0.01
foot_syls2,220.013,131.56161899251228,308.46505969312284,34.988,6.288,5.3,0.001,0.002,p<0.01
foot_syls3,256.113,136.20857560198894,376.01834197996845,48.028,5.333,5.54,0.002,0.005,p<0.01
foot_syls4,293.881,192.54652786029715,395.21607569224057,42.327,6.943,6.6,2.9e-04,8.0e-04,p<0.001
wrd_end_syl1,197.346,90.90847024957608,303.7833045786706,41.71,4.731,5.12,0.005,0.008,p<0.01
wrd_end_syl2,158.505,43.1100404167874,273.89998378547693,47.031,3.37,5.93,0.015,0.022,p<0.05
wrd_end_syl3,172.575,55.37064419653008,289.78005117060314,49.56,3.482,7,0.01,0.015,p<0.05
