intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
acc_phonL*H,acc_phon>H*,-34.871,-48.286411143949024,-21.456202451265327,6.833,-5.103,708.68,4.3e-07,7.4e-06,p<0.001
acc_phonL*H,acc_phonH*,-78.13,-88.67417943010555,-67.58533550892331,5.371,-14.547,716.44,3.4e-42,3.5e-40,p<0.001
acc_phon>H*,acc_phonH*,-43.258,-57.474723014051534,-29.04217832580657,7.241,-5.974,708.62,3.7e-09,9.4e-08,p<0.001
ana_syls0,ana_syls1,-34.226,-181.10341688327412,112.6515767034768,27.814,-1.231,1.66,0.365,0.616,
ana_syls0,ana_syls2,38.099,-139.5547369667479,215.7519805268061,36.58,1.042,1.78,0.418,0.648,
ana_syls0,ana_syls3,51.213,-126.4626818573605,228.8891932339069,36.578,1.4,1.78,0.31,0.591,
ana_syls1,ana_syls2,72.325,-31.3993581151782,176.04844189113692,23.756,3.044,1.97,0.095,0.257,
ana_syls1,ana_syls3,85.439,-18.321437537937783,189.19978906698256,23.753,3.597,1.97,0.071,0.209,
ana_syls2,ana_syls3,13.115,-123.76021290051938,149.9894806173191,28.353,0.463,1.79,0.694,0.842,
foot_syls1,foot_syls2,31.087,18.94059399436987,43.233442435736755,6.186,5.025,663.96,6.5e-07,9.5e-06,p<0.001
foot_syls1,foot_syls3,53.125,38.601852285988784,67.64757636651547,7.397,7.182,699.83,1.8e-12,6.0e-11,p<0.001
foot_syls1,foot_syls4,67.592,51.09748174330147,84.08561043043008,8.401,8.046,690.75,3.7e-15,1.9e-13,p<0.001
foot_syls2,foot_syls3,22.038,7.942320068296064,36.13307215934321,7.179,3.07,704.38,0.002,0.012,p<0.05
foot_syls2,foot_syls4,36.505,20.137949858256302,52.87110589465187,8.336,4.379,684.19,1.4e-05,1.3e-04,p<0.001
foot_syls3,foot_syls4,14.467,0.9136681913374272,28.019995121324857,6.903,2.096,707.51,0.036,0.117,
wrd_end_syl1,wrd_end_syl2,-13.051,-24.66616193345508,-1.4352030511128255,5.916,-2.206,701.71,0.028,0.095,
wrd_end_syl1,wrd_end_syl3,14.396,-4.779506938103951,33.572309287591395,9.767,1.474,703.44,0.141,0.346,
wrd_end_syl2,wrd_end_syl3,27.447,12.107911305604365,42.786256169134234,7.813,3.513,708.14,4.7e-04,0.003,p<0.01
intercept,pn_new_word0,42.422,-61.96376706513771,146.80757800093198,23.686,1.791,1.95,0.218,0.459,
