intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,85.206,82.18128917383748,88.23013684178113,1.371,62.127,10.83,3.6e-15,2.6e-14,p<0.001
ana_syls1,86.117,83.10759262211994,89.12728364123356,1.358,63.41,10.41,8.1e-15,5.3e-14,p<0.001
ana_syls2,85.422,82.39754292825536,88.44633665343203,1.371,62.285,10.83,3.5e-15,2.6e-14,p<0.001
ana_syls3,85.279,82.25452583874525,88.3041033591588,1.372,62.165,10.84,3.4e-15,2.6e-14,p<0.001
foot_syls1,85.206,82.18128917383748,88.23013684178113,1.371,62.127,10.83,3.6e-15,2.6e-14,p<0.001
foot_syls2,85.103,82.07681168909747,88.12876943759923,1.373,61.989,10.87,3.3e-15,2.6e-14,p<0.001
foot_syls3,85.089,82.03887316895442,88.13831430884655,1.394,61.058,11.54,7.4e-16,2.6e-14,p<0.001
foot_syls4,85.193,82.15939861699059,88.22688852490796,1.38,61.744,11.09,2.0e-15,2.6e-14,p<0.001
wrd_end_syl1,85.206,82.18128917383748,88.23013684178113,1.371,62.127,10.83,3.6e-15,2.6e-14,p<0.001
wrd_end_syl2,85.001,81.96201741012032,88.04067438627737,1.385,61.388,11.25,1.4e-15,2.6e-14,p<0.001
wrd_end_syl3,84.773,81.70472603971493,87.84111251216495,1.409,60.166,12.06,2.5e-16,1.8e-14,p<0.001
