intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,ana_syls1,0.91,0.5358063844012835,1.2876438633064715,0.19,4.77,475.02,2.5054172743024144e-6,NA,NA
ana_syls0,ana_syls2,0.22,-0.3781550186623207,0.8106085848857197,0.3,0.71,475.03,0.4750680463352521,NA,NA
ana_syls0,ana_syls3,0.07,-0.5232848890008328,0.670488071411951,0.3,0.24,475.03,0.8086531195858124,NA,NA
ana_syls1,ana_syls2,-0.7,-1.1549189862770313,-0.23607769526295358,0.23,-2.97,475.03,0.0030821988441018496,NA,NA
ana_syls1,ana_syls3,-0.84,-1.3007422976430723,-0.3755047677072067,0.24,-3.56,475.03,4.082974330530877e-4,NA,NA
ana_syls2,ana_syls3,-0.14,-0.6177303355076014,0.3324799516963209,0.24,-0.59,475.01,0.5555525732009008,NA,NA
foot_syls1,foot_syls2,-0.1,-0.5839760324248048,0.3781311434659684,0.24,-0.42,475.04,0.6743763510118022,NA,NA
foot_syls1,foot_syls3,-0.12,-0.6413320741149087,0.40709353608649984,0.27,-0.44,475.06,0.660852224270001,NA,NA
foot_syls1,foot_syls4,-0.01,-0.579748283465285,0.5546094095756839,0.29,-0.04,475.04,0.9652843121803143,NA,NA
foot_syls2,foot_syls3,-0.01,-0.5285607588932438,0.5001671098519186,0.26,-0.05,475.05,0.9567710303761873,NA,NA
foot_syls2,foot_syls4,0.09,-0.47958243375593185,0.6602884488600024,0.29,0.31,475.04,0.7555490791492816,NA,NA
foot_syls3,foot_syls4,0.1,-0.3268187340362788,0.5359183981813613,0.22,0.48,475.02,0.6341184516391648,NA,NA
wrd_end_syl1,wrd_end_syl2,-0.2,-0.5824835046010075,0.17374928543488338,0.19,-1.06,475.05,0.2887564613826687,NA,NA
wrd_end_syl1,wrd_end_syl3,-0.43,-1.0319550622035052,0.16636759842339294,0.3,-1.42,475.05,0.1564493365519332,NA,NA
wrd_end_syl2,wrd_end_syl3,-0.23,-0.6978923221966165,0.24103907758865362,0.24,-0.96,475.08,0.3395130364314918,NA,NA
intercept,acc_phonL*,-0.175,-1.068176200811196,0.7174554341270106,0.454,-0.386,475.17,0.6997102101318067,NA,NA
intercept,pn_new_wordTRUE,-0.757,-1.2717455806877305,-0.24283173966695049,0.262,-2.892,475.03,0.003997757473050421,NA,NA
