intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,82.34,-29.5836107604932,194.26836882929246,40.61,2.03,4.08,0.11119719670185721,NA,NA
ana_syls1,29.84,-123.29524146184445,182.97256937064526,57.02,0.52,4.37,0.6261769105738835,NA,NA
ana_syls2,59.3,-145.5911257869718,264.1851260892139,72.35,0.82,3.81,0.460623617129159,NA,NA
ana_syls3,69.86,-135.02662820094588,274.7429051354509,72.36,0.97,3.81,0.39150721753887796,NA,NA
foot_syls1,82.34,-29.5836107604932,194.26836882929246,40.61,2.03,4.08,0.11119719670185721,NA,NA
foot_syls2,71.76,-12.889558393896905,156.41529198355158,32.89,2.18,4.98,0.08114846124266124,NA,NA
foot_syls3,100.8,19.864747229622765,181.7277932509233,32.08,3.14,5.33,0.023450158984425998,NA,NA
foot_syls4,140.31,56.697020398830205,223.927431847862,35.79,3.92,7.45,0.00508637743365256,NA,NA
wrd_end_syl1,82.34,-29.5836107604932,194.26836882929246,40.61,2.03,4.08,0.11119719670185721,NA,NA
wrd_end_syl2,50.32,-65.82511843221656,166.46558003895112,43.8,1.15,4.54,0.30757132554329764,NA,NA
wrd_end_syl3,44.71,-72.23186968258833,161.66120574996526,44.68,1,4.72,0.3654524140490868,NA,NA
