intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,ana_syls1,-60.265,-266.69021232090563,146.16104650726388,64.746,-0.931,2.99,0.421,0.9,
ana_syls0,ana_syls2,-14.161,-281.42278872277376,253.10071166830815,90.844,-0.156,3.5,0.885,0.976,
ana_syls0,ana_syls3,-4.087,-271.33862841289,263.1637640913066,90.849,-0.045,3.5,0.967,0.976,
ana_syls1,ana_syls2,46.104,-129.8931332738236,222.10022227220568,63.742,0.723,4.06,0.509,0.918,
ana_syls1,ana_syls3,56.177,-119.81168251378544,232.1659842417313,63.749,0.881,4.06,0.427,0.9,
ana_syls2,ana_syls3,10.074,-330.4956398666825,350.64285259951794,52.416,0.192,1.42,0.871,0.976,
foot_syls1,foot_syls2,-11.406,-124.36726793869474,101.55607607718376,43.476,-0.262,4.83,0.804,0.976,
foot_syls1,foot_syls3,9.988,-108.57026596575172,128.54715691299725,46,0.217,4.96,0.837,0.976,
foot_syls1,foot_syls4,61.268,-53.561711339003274,176.0972141663847,47.163,1.299,6.13,0.241,0.683,
foot_syls2,foot_syls3,21.394,-70.10216423320304,112.89024702315146,36.985,0.578,5.74,0.585,0.971,
foot_syls2,foot_syls4,72.673,-15.909833174315452,161.25652782366805,38.506,1.887,8.11,0.095,0.466,
foot_syls3,foot_syls4,51.279,-37.4465569523374,140.0051688890311,35.145,1.459,5.32,0.201,0.658,
wrd_end_syl1,wrd_end_syl2,-34.73,-77.7607647669884,8.300011021154518,21.268,-1.633,38.65,0.111,0.468,
wrd_end_syl1,wrd_end_syl3,-38.819,-87.21505833594068,9.57614648284099,24.162,-1.607,56.4,0.114,0.468,
wrd_end_syl2,wrd_end_syl3,-4.089,-27.04437706023137,18.866218917833574,11.669,-0.35,326.47,0.726,0.971,
intercept,acc_phonL*,20.921,3.05294627287709,38.78813321689897,9.088,2.302,390.1,0.022,0.17,
intercept,pn_new_word0,8.579,-166.47917081715522,183.63730244345808,60.269,0.142,3.59,0.894,0.976,
intercept,genderM,-72.595,-88.59003613742084,-56.59924886576485,7.165,-10.132,9.86,1.6e-06,4.3e-05,p<0.001
