intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,2.887,1.9655650580537662,3.807935160813739,0.338,8.529,4.21,8.203509040857925e-4,NA,NA
foot_syls2,2.265,1.7362996733654694,2.7946913655125463,0.217,10.446,6.07,4.183161778517135e-5,NA,NA
foot_syls3,2.806,2.110479997405134,3.5013681710019084,0.271,10.348,5.04,1.3882470748172643e-4,NA,NA
foot_syls4,2.996,2.2385402823555274,3.752913413381615,0.327,9.164,7.8,1.907990319580687e-5,NA,NA
ana_syls0,2.887,1.9655650580537662,3.807935160813739,0.338,8.529,4.21,8.203509040857925e-4,NA,NA
ana_syls1,2.857,1.546572711148154,4.167653878289429,0.472,6.057,3.99,0.0037717150430905265,NA,NA
ana_syls2,2.997,1.3093326839110129,4.685153298725466,0.617,4.856,4.16,0.007512951285709383,NA,NA
ana_syls3,2.861,1.172945827210915,4.548669235230526,0.617,4.633,4.17,0.00887860431855412,NA,NA
wrd_end_syl1,2.887,1.9655650580537662,3.807935160813739,0.338,8.529,4.21,8.203509040857925e-4,NA,NA
wrd_end_syl2,2.807,1.7537248032412713,3.8598931285016307,0.422,6.647,5.57,7.603207213509501e-4,NA,NA
wrd_end_syl3,2.749,1.6738474078115615,3.823654387806929,0.453,6.073,6.85,5.472213536175778e-4,NA,NA
