intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,-0.621,-1.6945509172437685,0.45204173745663057,0.383,-1.624,3.9,0.182,0.614,
foot_syls1,foot_syls3,-0.081,-1.241535516872999,1.0798834659345014,0.426,-0.19,4.19,0.858,0.976,
foot_syls1,foot_syls4,0.109,-1.0682033154858126,1.2861567916155408,0.457,0.238,4.98,0.821,0.976,
foot_syls2,foot_syls3,0.54,-0.3396836276871209,1.4205407571756998,0.34,1.591,4.87,0.174,0.606,
foot_syls2,foot_syls4,0.73,-0.19203865221360303,1.6525013090959364,0.38,1.922,6.21,0.101,0.468,
foot_syls3,foot_syls4,0.19,-0.686337037648736,1.0659425651713086,0.331,0.573,4.57,0.594,0.971,
ana_syls0,ana_syls1,-0.03,-0.9639891640070556,0.9047155345602508,0.328,-0.09,3.77,0.933,0.976,
ana_syls0,ana_syls2,0.11,-1.3116207211225632,1.5326064850913312,0.507,0.218,3.91,0.839,0.976,
ana_syls0,ana_syls3,-0.026,-1.4477971879430582,1.3959120318656577,0.508,-0.051,3.92,0.962,0.976,
ana_syls1,ana_syls2,0.14,-0.9326448485476992,1.2129042418762257,0.387,0.362,4.01,0.735,0.971,
ana_syls1,ana_syls3,0.004,-1.0688032630138715,1.0761917362947655,0.387,0.01,4.03,0.993,0.993,
ana_syls2,ana_syls3,-0.136,-0.28736024759401,0.01448932754605988,0.077,-1.776,463.43,0.076,0.432,
wrd_end_syl1,wrd_end_syl2,-0.08,-0.6425138368362713,0.4826315503600655,0.254,-0.315,10.5,0.759,0.971,
wrd_end_syl1,wrd_end_syl3,-0.138,-0.7779481335845416,0.5019497109660854,0.304,-0.455,17.16,0.655,0.971,
wrd_end_syl2,wrd_end_syl3,-0.058,-0.3914429864435652,0.2753268502033751,0.168,-0.345,116.9,0.731,0.971,
intercept,pn_new_word0,-0.179,-1.0984445852744305,0.7400571626744092,0.346,-0.518,4.5,0.629,0.971,
intercept,genderM,0.276,0.06697863878571636,0.4847656131762741,0.093,2.971,9.33,0.015,0.144,
