intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,1.36,-1.5696717026132505,4.2925257503582515,0.76,1.8,2.25,0.1996523665887341,NA,NA
foot_syls1,foot_syls3,1.67,1.1991087658129511,2.1351723437971906,0.24,6.99,724.12,6.119999386608871e-12,NA,NA
foot_syls1,foot_syls4,1.55,-1.1859039396617765,4.291291011944852,0.89,1.75,3.16,0.1732060446879941,NA,NA
foot_syls2,foot_syls3,0.31,-2.560088464820016,3.17151552595537,0.77,0.4,2.35,0.7229657604140995,NA,NA
foot_syls2,foot_syls4,0.19,-2.528302022611116,2.9108344055312814,0.89,0.21,3.25,0.8429512747252873,NA,NA
foot_syls3,foot_syls4,-0.11,-2.8336998676601497,2.604805463031124,0.89,-0.13,3.25,0.9054272256506002,NA,NA
pre_syls0,pre_syls1,0.5,-2.662571674980736,3.667177423636968,0.73,0.68,2,0.5649010497280936,NA,NA
pre_syls0,pre_syls2,0.28,-2.840662143920019,3.401089212486376,0.97,0.29,2.94,0.7915912288449655,NA,NA
pre_syls0,pre_syls3,0.28,-2.796222537168237,3.3640051606309944,0.97,0.29,3.01,0.7887122373766701,NA,NA
pre_syls1,pre_syls2,-0.22,-1.8965828448409294,1.452404168242026,0.63,-0.35,4.53,0.740663798523755,NA,NA
pre_syls1,pre_syls3,-0.22,-1.8823040581859016,1.445480949258031,0.63,-0.35,4.64,0.7448114279752163,NA,NA
pre_syls2,pre_syls3,0,-1.1472370083467975,1.1545919798939988,0.4,0.01,3.68,0.9931449746137452,NA,NA
intercept,fin_phonL%,-5.584,-6.312329023212058,-4.856004576710683,0.371,-15.055,764.11,4.785621575420488e-45,NA,NA
intercept,nuc_new_wordTRUE,0.182,-1.0543351020820653,1.4175572735254816,0.46,0.395,4.37,0.7116400428214992,NA,NA
