intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,0.85,0.3077634524171323,1.3935910163577887,0.28,3.08,701.76,0.0021771803065286223,NA,NA
foot_syls1,foot_syls3,2.3,1.8670935623188951,2.724743809081562,0.22,10.51,717.45,3.912728356451311e-24,NA,NA
foot_syls1,foot_syls4,2.03,1.35359977846398,2.71220692091952,0.35,5.87,746,6.370318157804344e-9,NA,NA
foot_syls2,foot_syls3,1.45,0.8680092469462068,2.0224734622451233,0.29,4.92,693.3,1.1045633243367599e-6,NA,NA
foot_syls2,foot_syls4,1.18,0.4800824982834667,1.884368879972243,0.36,3.31,708.09,9.951010880499482e-4,NA,NA
foot_syls3,foot_syls4,-0.26,-0.9671248908802981,0.4410944049864897,0.36,-0.73,756.42,0.46360010903144677,NA,NA
pre_syls0,pre_syls1,0.81,0.37741926285162153,1.2409584718091717,0.22,3.68,702.63,2.5152104917372753e-4,NA,NA
pre_syls0,pre_syls2,0.74,0.05935876602786372,1.4262055337118227,0.35,2.13,667.06,0.03320118927589208,NA,NA
pre_syls0,pre_syls3,1.14,0.4304372338775767,1.8431625186811984,0.36,3.16,642.66,0.0016503213010233928,NA,NA
pre_syls1,pre_syls2,-0.07,-0.5962429952657012,0.46343069853342483,0.27,-0.25,608.2,0.8056581598893947,NA,NA
pre_syls1,pre_syls3,0.33,-0.22999248842704273,0.8852139316690502,0.28,1.15,582.49,0.2489968713421281,NA,NA
pre_syls2,pre_syls3,0.39,-0.013757073909036244,0.8017941624831099,0.21,1.9,382.33,0.058204320640026286,NA,NA
intercept,fin_phonL%,-0.619,-1.284093603304386,0.04511127444659235,0.339,-1.83,766.47,0.0676655973383074,NA,NA
intercept,nuc_new_wordTRUE,0.463,0.04934948378607712,0.8762827467646235,0.211,2.198,657.37,0.028301091772258712,NA,NA
