intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,21.25,11.753334984308964,30.752558228086343,4.84,4.39,765.75,1.282019796493712e-5,NA,NA
foot_syls1,foot_syls3,95.92,88.39586453567401,103.4515496761704,3.83,25.01,765.84,2.0734057880108756e-101,NA,NA
foot_syls1,foot_syls4,217.84,205.86831071011815,229.80980756251617,6.1,35.72,767.66,2.1397582956779918e-165,NA,NA
foot_syls2,foot_syls3,74.67,64.57678406772762,84.76473693166464,5.14,14.52,765.98,2.188842607319246e-42,NA,NA
foot_syls2,foot_syls4,196.59,184.25639773489598,208.915827326709,6.28,31.3,767.48,3.0964743880660734e-139,NA,NA
foot_syls3,foot_syls4,121.92,109.4972441714791,134.33345989135435,6.33,19.27,767.68,8.267070494167814e-68,NA,NA
pre_syls0,pre_syls1,-33.5,-41.07083938790821,-25.937092730744755,3.85,-8.69,765.92,2.1468975962230306e-17,NA,NA
pre_syls0,pre_syls2,-38.19,-50.18075640874754,-26.19022923565953,6.11,-6.25,767.49,6.838064961552287e-10,NA,NA
pre_syls0,pre_syls3,-44.23,-56.65215447803084,-31.814186106721365,6.33,-6.99,767.71,5.8999161454022575e-12,NA,NA
pre_syls1,pre_syls2,-4.68,-13.982722276440601,4.619668750501561,4.74,-0.99,767.61,0.3234359100794719,NA,NA
pre_syls1,pre_syls3,-10.73,-20.55634872324573,-0.9020597427496249,5.01,-2.14,766.81,0.03240647957896566,NA,NA
pre_syls2,pre_syls3,-6.05,-13.344311502852428,1.2489565679757346,3.72,-1.63,753.02,0.10413538674280483,NA,NA
intercept,fin_phonL%,-45.707,-57.401856179350425,-34.01269295032609,5.957,-7.672,769.45,5.111851274484997e-14,NA,NA
intercept,nuc_new_wordTRUE,-13.416,-20.737897765003716,-6.094316577064406,3.73,-3.597,767.43,3.425041074433544e-4,NA,NA
intercept,genderM,-64.51,-97.96947313878283,-31.051345207746046,14.792,-4.361,9.01,0.0018178182648646605,NA,NA
