intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,0.51,-0.24683374241842337,1.2662692551213102,0.27,1.91,3.78,0.13223821418269296,NA,NA
foot_syls1,foot_syls3,0.46,0.2009714017869363,0.728085263542246,0.13,3.46,704.47,5.717820648367114e-4,NA,NA
foot_syls1,foot_syls4,0.82,-0.01878951604803414,1.6527556970138422,0.31,2.6,4.51,0.05349723662513741,NA,NA
foot_syls2,foot_syls3,-0.05,-0.7913725766264332,0.7006321140001646,0.27,-0.17,4.15,0.8755538746954581,NA,NA
foot_syls2,foot_syls4,0.31,-0.5254699823693029,1.1388871619508931,0.32,0.96,4.76,0.38233469582856694,NA,NA
foot_syls3,foot_syls4,0.35,-0.4792774348834454,1.1841854470881703,0.32,1.1,4.8,0.3221907591642483,NA,NA
pre_syls0,pre_syls1,0.12,-0.7061952177092036,0.9548354378706786,0.24,0.51,2.7,0.6500471019393981,NA,NA
pre_syls0,pre_syls2,-0.21,-1.1585038471611464,0.746200095864445,0.33,-0.62,3.77,0.5733386427211615,NA,NA
pre_syls0,pre_syls3,-0.2,-1.1384743772348254,0.7440372310140487,0.34,-0.59,3.91,0.5894580926234123,NA,NA
pre_syls1,pre_syls2,-0.33,-0.901732949084,0.2401892529021441,0.23,-1.45,5.52,0.2019679583714444,NA,NA
pre_syls1,pre_syls3,-0.32,-0.889480136095377,0.2464479365711641,0.23,-1.4,5.78,0.21338809658964528,NA,NA
pre_syls2,pre_syls3,0,-0.3596859149129145,0.36235757049216893,0.14,0.01,5.43,0.9929206658405311,NA,NA
intercept,fin_phonL%,-0.033,-0.44417246622869044,0.378454463899521,0.21,-0.157,757.76,0.8754221368573815,NA,NA
intercept,nuc_new_wordTRUE,0.189,-0.22795948494748455,0.6062646186947297,0.169,1.12,5.78,0.30715917734315246,NA,NA
