intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,-0.02,-0.4633125647680418,0.41998687105396576,0.17,-0.13,4.84,0.9037679957870974,NA,NA
foot_syls1,foot_syls3,-0.13,-0.1968924016671929,-0.060873267576593115,0.03,-3.72,715.48,2.1436226887076905e-4,NA,NA
foot_syls1,foot_syls4,-0.71,-1.21637329381883,-0.19654389789568172,0.2,-3.6,4.84,0.01647634817461952,NA,NA
foot_syls2,foot_syls3,-0.11,-0.5483924377170615,0.33395246214357266,0.17,-0.63,4.92,0.5581502376500034,NA,NA
foot_syls2,foot_syls4,-0.68,-1.1943789897737256,-0.17521250818551037,0.2,-3.48,4.9,0.018337097258884383,NA,NA
foot_syls3,foot_syls4,-0.58,-1.0871252633618997,-0.06802625901416082,0.2,-2.93,4.9,0.03336863210669958,NA,NA
pre_syls0,pre_syls1,0.27,-0.1717398660285095,0.7146835140555863,0.17,1.62,4.61,0.17200999766769715,NA,NA
pre_syls0,pre_syls2,0.37,-0.19408605637214077,0.9409441030760413,0.22,1.72,4.72,0.14913834302670564,NA,NA
pre_syls0,pre_syls3,0.39,-0.1764509531975153,0.9585775268865095,0.22,1.8,4.72,0.13466217134640968,NA,NA
pre_syls1,pre_syls2,0.1,-0.25268916529543933,0.4566035639607548,0.14,0.74,4.9,0.49116949724990133,NA,NA
pre_syls1,pre_syls3,0.12,-0.23508137160614526,0.4742642972292601,0.14,0.87,4.9,0.4237814844153931,NA,NA
pre_syls2,pre_syls3,0.02,-0.2030813549335449,0.23834988198060408,0.09,0.21,4.89,0.844491566372258,NA,NA
intercept,fin_phonL%,0.096,-0.010023948827668605,0.20174032122160154,0.054,1.777,762.69,0.075928381593971625,NA,NA
intercept,nuc_new_wordTRUE,0.067,-0.18736701540718598,0.3222942288315686,0.098,0.685,4.89,0.5242968305738887,NA,NA
intercept,genderM,0.108,-0.20810978308634445,0.42479890051095626,0.14,0.774,9.01,0.4585621787646027,NA,NA
