intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
acc_phonL*H,acc_phon>H*,-36.12,-53.03436937079564,-19.197778614565657,8.58,-4.21,190.68,3.9202171405901125e-5,NA,NA
acc_phonL*H,acc_phonH*,-86.75,-109.46960558580058,-64.02843851578304,11.52,-7.53,189.73,1.985341373985326e-12,NA,NA
acc_phon>H*,acc_phonH*,-50.63,-73.55651674492674,-27.709379371488495,11.62,-4.36,184.3,2.1798843037949027e-5,NA,NA
ana_syls0,ana_syls1,-61.17,-88.765312252357,-33.57095950476251,13.99,-4.37,184.91,2.0445823951469324e-5,NA,NA
ana_syls0,ana_syls2,-25.02,-51.47517428773963,1.4399956038433075,13.41,-1.87,185.02,0.06369554089775996,NA,NA
ana_syls0,ana_syls3,-18.75,-45.65381089725368,8.152263288223406,13.64,-1.38,185.11,0.1707816784666879,NA,NA
ana_syls1,ana_syls2,36.15,25.633167509819266,46.667925563322974,5.33,6.78,184.18,1.5672141410527334e-10,NA,NA
ana_syls1,ana_syls3,42.42,31.76296990697216,53.07175424102485,5.4,7.85,184.23,3.2142031086907987e-13,NA,NA
ana_syls2,ana_syls3,6.27,-3.6299621988304507,16.163593273656588,5.02,1.25,183.05,0.21313448893885323,NA,NA
intercept,wrd_end_syl3,1.301,-24.2581339934907,26.860099662910716,12.956,0.1,185.75,0.9201205820160885,NA,NA
intercept,genderM,-77.646,-115.80505796777096,-39.48754278024036,16.927,-4.587,9.21,0.0012380490020719877,NA,NA
