intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
ana_syls0,ana_syls1,-0.03,-0.7523314526457949,0.6921011665991093,0.23,-0.13,3.08,0.9040587460152769,NA,NA
ana_syls0,ana_syls2,0.13,-0.9631351755882285,1.2274882554375128,0.36,0.37,3.24,0.7352100566108768,NA,NA
ana_syls0,ana_syls3,-0,-1.098848795266547,1.0909377900124322,0.36,-0.01,3.25,0.9918500886298001,NA,NA
ana_syls1,ana_syls2,0.16,-0.6624702697916598,0.9870536340339864,0.27,0.59,3.35,0.592154652942495,NA,NA
ana_syls1,ana_syls3,0.03,-0.7981720387822636,0.8504913178936812,0.28,0.1,3.36,0.9296411701362206,NA,NA
ana_syls2,ana_syls3,-0.14,-0.2820086833259021,0.009744598272679456,0.07,-1.83,462.6,0.06732060940879134,NA,NA
foot_syls1,foot_syls2,-0.5,-1.3176818492936655,0.32369737725128517,0.27,-1.83,3.29,0.15580307120328135,NA,NA
foot_syls1,foot_syls3,-0.13,-1.0349396976030705,0.766939626652516,0.3,-0.44,3.43,0.6853901246502467,NA,NA
foot_syls1,foot_syls4,0.01,-0.9303131580871665,0.9553783358948019,0.33,0.04,3.82,0.9718789322136354,NA,NA
foot_syls2,foot_syls3,0.36,-0.3208438708642263,1.0468282672530511,0.25,1.46,4.1,0.21637071840345126,NA,NA
foot_syls2,foot_syls4,0.51,-0.24193008523624282,1.2609797282601996,0.28,1.79,4.61,0.13865421426531072,NA,NA
foot_syls3,foot_syls4,0.15,-0.5355902294009134,0.8286554812772682,0.24,0.61,3.76,0.575750311040798,NA,NA
wrd_end_syl1,wrd_end_syl2,0.01,-0.4839470104921873,0.500135005222176,0.2,0.04,5.66,0.9688210466089326,NA,NA
wrd_end_syl1,wrd_end_syl3,-0.03,-0.5882115066662834,0.5247475931755068,0.25,-0.13,9.69,0.9010679678365648,NA,NA
wrd_end_syl2,wrd_end_syl3,-0.04,-0.3467996190325989,0.2671477102246549,0.15,-0.26,41.77,0.794713889500382,NA,NA
intercept,pn_new_wordTRUE,0.157,-0.538173642498299,0.8525729120551713,0.251,0.627,4.01,0.5646283148097947,NA,NA
intercept,genderM,0.27,0.0505530051083565,0.48867050099013143,0.097,2.77,9.3,0.021090906413202267,NA,NA
