intercept,slope,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=8),signif. 
modeMDC,modeMWH,-0.369,2.954,-6.159,5.421,-0.125,612.03,0.9007,0.9999,
modeMDC,modeMYN,-0.578,3.138,-6.73,5.573,-0.184,612.31,0.8539,0.9999,
modeMDC,modeMDQ,-14.143,3.994,-21.971,-6.315,-3.541,613.24,4.2875e-04,0.0034,p<0.01
modeMWH,modeMYN,-0.209,3.136,-6.355,5.936,-0.067,612.39,0.9468,0.9999,
modeMWH,modeMDQ,-13.774,3.993,-21.6,-5.948,-3.449,613.34,6.0023e-04,0.0048,p<0.01
modeMYN,modeMDQ,-13.565,3.408,-20.244,-6.886,-3.981,612.71,7.6988e-05,6.16e-04,p<0.001
acc_phonL*H,acc_phon^[L*]H,-72.971,12.197,-96.876,-49.066,-5.983,614.5,3.7255e-09,2.98e-08,p<0.001
acc_phonL*H,acc_phonL*^[H],-4.737,5.789,-16.083,6.609,-0.818,614.28,0.4135,0.9999,
acc_phonL*H,acc_phon^[L*H],-8.761,3.837,-16.281,-1.242,-2.284,614.02,0.0227,0.1818,
acc_phon^[L*]H,acc_phonL*^[H],68.234,13.095,42.568,93.899,5.211,614.47,2.5713e-07,2.06e-06,p<0.001
acc_phon^[L*]H,acc_phon^[L*H],64.209,12.092,40.509,87.91,5.31,614.31,1.5340e-07,1.23e-06,p<0.001
acc_phonL*^[H],acc_phon^[L*H],-4.024,5.703,-15.202,7.153,-0.706,613.62,0.4806,0.9999,
