intercept,slope,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=8),signif. 
modeMDC,modeMWH,0.28,1.989,-3.619,4.178,0.141,610.02,0.8882,0.9999,
modeMDC,modeMYN,2.021,2.203,-2.296,6.339,0.918,610.47,0.3592,0.9999,
modeMDC,modeMDQ,-15.256,3.172,-21.474,-9.039,-4.809,612.08,1.9085e-06,1.53e-05,p<0.001
modeMWH,modeMYN,1.742,2.207,-2.583,6.066,0.789,610.64,0.4303,0.9999,
modeMWH,modeMDQ,-15.536,3.174,-21.756,-9.316,-4.895,612.08,1.2571e-06,1.01e-05,p<0.001
modeMYN,modeMDQ,-17.278,3.266,-23.68,-10.875,-5.289,611.83,1.7112e-07,1.37e-06,p<0.001
acc_phonL*H,acc_phon^[L*]H,4.228,10.936,-17.208,25.663,0.387,611.84,0.6992,0.9999,
acc_phonL*H,acc_phonL*^[H],-11.327,4.635,-20.411,-2.243,-2.444,612.5,0.0148,0.1185,
acc_phonL*H,acc_phon^[L*H],-11.558,3.582,-18.579,-4.538,-3.227,613.21,0.0013,0.0106,p<0.05
acc_phon^[L*]H,acc_phonL*^[H],-15.555,11.2,-37.506,6.397,-1.389,611.89,0.1654,0.9999,
acc_phon^[L*]H,acc_phon^[L*H],-15.786,10.699,-36.756,5.184,-1.475,611.75,0.1406,0.9999,
acc_phonL*^[H],acc_phon^[L*H],-0.231,4.217,-8.497,8.035,-0.055,611.75,0.9563,0.9999,
