intercept,slope,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=8),signif. 
modeMDC,modeMWH,1.795,0.799,0.229,3.361,2.247,596.97,0.025,0.2003,
modeMDC,modeMYN,1.037,0.858,-0.645,2.718,1.208,600.22,0.2275,0.9999,
modeMDC,modeMDQ,7.85,1.095,5.703,9.997,7.167,598.73,2.2652e-12,1.81e-11,p<0.001
modeMWH,modeMYN,-0.758,0.858,-2.441,0.924,-0.884,600.54,0.3773,0.9999,
modeMWH,modeMDQ,6.055,1.093,3.913,8.197,5.541,597.91,4.5088e-08,3.61e-07,p<0.001
modeMYN,modeMDQ,6.814,0.97,4.912,8.715,7.021,575.93,6.2088e-12,4.97e-11,p<0.001
acc_phonL*H,acc_phon^[L*]H,-11.239,7.809,-26.545,4.067,-1.439,597.77,0.1506,0.9999,
acc_phonL*H,acc_phonL*^[H],16.705,1.969,12.846,20.564,8.485,9.07,1.3169e-05,1.05e-04,p<0.001
acc_phonL*H,acc_phon^[L*H],4.162,3.127,-1.965,10.29,1.331,9.83,0.2131,0.9999,
acc_phon^[L*]H,acc_phonL*^[H],29.798,4.322,21.327,38.269,6.895,0,1,0.9999,
acc_phon^[L*]H,acc_phon^[L*H],17.255,4.534,8.368,26.142,3.806,0,1,0.9999,
acc_phonL*^[H],acc_phon^[L*H],-12.543,3.279,-18.97,-6.116,-3.825,8.47,0.0045,0.0363,p<0.05
