intercept,slope,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=8),signif. 
modeMDC,modeMWH,0.403,0.192,0.028,0.779,2.104,619.01,0.0358,0.2861,
modeMDC,modeMYN,0.81,0.203,0.413,1.207,4.002,619.08,7.0548e-05,5.64e-04,p<0.001
modeMDC,modeMDQ,2.31,0.258,1.806,2.815,8.969,619.35,3.5170e-18,2.81e-17,p<0.001
modeMWH,modeMYN,0.407,0.203,0.009,0.806,2.002,619.11,0.0457,0.3657,
modeMWH,modeMDQ,1.907,0.258,1.401,2.414,7.379,619.37,5.1462e-13,4.12e-12,p<0.001
modeMYN,modeMDQ,1.5,0.22,1.068,1.932,6.812,619.2,2.2791e-11,1.82e-10,p<0.001
acc_phonH*,acc_phonL*H,0.522,1.264,-1.955,2.999,0.413,619.28,0.6799,0.9999,
acc_phonH*,acc_phon>H*,0.78,1.44,-2.043,3.603,0.541,619,0.5885,0.9999,
acc_phonH*,acc_phon^[L*]H,0.788,1.416,-1.987,3.563,0.557,619.01,0.578,0.9999,
acc_phonH*,acc_phonL*^[H],4.63,1.323,2.037,7.222,3.5,619.32,4.9890e-04,0.004,p<0.01
acc_phonH*,acc_phon^[L*H],4.345,1.28,1.836,6.853,3.395,619.26,7.3098e-04,0.0058,p<0.01
acc_phonL*H,acc_phon>H*,0.258,0.842,-1.392,1.908,0.307,619.63,0.7592,0.9999,
acc_phonL*H,acc_phon^[L*]H,0.266,0.791,-1.283,1.816,0.337,619.72,0.7364,0.9999,
acc_phonL*H,acc_phonL*^[H],4.108,0.376,3.372,4.844,10.934,619.65,1.4416e-25,1.15e-24,p<0.001
acc_phonL*H,acc_phon^[L*H],3.823,0.247,3.338,4.308,15.45,619.57,8.6833e-46,6.95e-45,p<0.001
acc_phon>H*,acc_phon^[L*]H,0.008,1.043,-2.036,2.052,0.008,619,0.9938,0.9999,
acc_phon>H*,acc_phonL*^[H],3.85,0.913,2.06,5.64,4.215,619.64,2.8669e-05,2.29e-04,p<0.001
acc_phon>H*,acc_phon^[L*H],3.565,0.849,1.901,5.229,4.199,619.58,3.0807e-05,2.46e-04,p<0.001
acc_phon^[L*]H,acc_phonL*^[H],3.842,0.85,2.175,5.508,4.519,619.72,7.4489e-06,5.96e-05,p<0.001
acc_phon^[L*]H,acc_phon^[L*H],3.557,0.781,2.025,5.088,4.552,619.66,6.4094e-06,5.13e-05,p<0.001
acc_phonL*^[H],acc_phon^[L*H],-0.285,0.369,-1.007,0.437,-0.773,619.45,0.4397,0.9999,
