intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=8),signif. 
modeMDC,253.587,32.468,189.951,317.224,7.81,7.19,9.2469e-05,7.40e-04,p<0.001
modeMWH,252.864,32.608,188.953,316.775,7.755,7.31,8.8522e-05,7.08e-04,p<0.001
modeMYN,252.208,32.59,188.333,316.082,7.739,7.29,9.0794e-05,7.26e-04,p<0.001
modeMDQ,238.928,32.675,174.886,302.97,7.312,7.37,1.2502e-04,0.001,p<0.01
acc_phonH*,253.587,32.468,189.951,317.224,7.81,7.19,9.2469e-05,7.40e-04,p<0.001
acc_phonL*H,318.361,25.981,267.439,369.283,12.254,2.95,0.0013,0.0101,p<0.05
acc_phon>H*,246.584,29.086,189.576,303.591,8.478,4.63,5.4142e-04,0.0043,p<0.01
acc_phon^[L*]H,245.961,28.822,189.471,302.451,8.534,4.47,6.2483e-04,0.005,p<0.01
acc_phonL*^[H],313.897,26.612,261.738,366.056,11.795,3.25,8.9024e-04,0.0071,p<0.01
acc_phon^[L*H],309.806,26.303,258.252,361.36,11.778,3.1,0.0011,0.009,p<0.01
