intercept,slope,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=8),signif. 
modeMDC,modeMWH,-0.723,2.953,-6.511,5.065,-0.245,617.03,0.8067,0.9999,
modeMDC,modeMYN,-1.38,3.121,-7.497,4.737,-0.442,617.3,0.6586,0.9999,
modeMDC,modeMDQ,-14.659,3.971,-22.442,-6.876,-3.692,618.24,2.4257e-04,0.0019,p<0.01
modeMWH,modeMYN,-0.657,3.134,-6.8,5.486,-0.21,617.39,0.8341,0.9999,
modeMWH,modeMDQ,-13.936,3.984,-21.745,-6.127,-3.498,618.34,5.0263e-04,0.004,p<0.01
modeMYN,modeMDQ,-13.279,3.394,-19.932,-6.627,-3.912,617.71,1.0157e-04,8.13e-04,p<0.001
acc_phonH*,acc_phonL*H,64.774,19.539,26.477,103.07,3.315,618,9.6990e-04,0.0078,p<0.01
acc_phonH*,acc_phon>H*,-7.004,22.25,-50.613,36.606,-0.315,617.02,0.753,0.9999,
acc_phonH*,acc_phon^[L*]H,-7.626,21.964,-50.675,35.423,-0.347,617.06,0.7285,0.9999,
acc_phonH*,acc_phonL*^[H],60.31,20.461,20.206,100.413,2.948,618.15,0.0033,0.0266,p<0.05
acc_phonH*,acc_phon^[L*H],56.219,19.755,17.5,94.937,2.846,617.94,0.0046,0.0366,p<0.05
acc_phonL*H,acc_phon>H*,-71.778,12.968,-97.194,-46.362,-5.535,619.19,4.5963e-08,3.68e-07,p<0.001
acc_phonL*H,acc_phon^[L*]H,-72.4,12.212,-96.335,-48.465,-5.929,619.52,5.0730e-09,4.06e-08,p<0.001
acc_phonL*H,acc_phonL*^[H],-4.464,5.789,-15.811,6.883,-0.771,619.29,0.4409,0.9999,
acc_phonL*H,acc_phon^[L*H],-8.555,3.834,-16.07,-1.04,-2.231,619.03,0.026,0.2082,
acc_phon>H*,acc_phon^[L*]H,-0.623,16.103,-32.183,30.938,-0.039,617.02,0.9692,0.9999,
acc_phon>H*,acc_phonL*^[H],67.313,14.071,39.734,94.893,4.784,619.23,2.1533e-06,1.72e-05,p<0.001
acc_phon>H*,acc_phon^[L*H],63.222,13.083,37.58,88.865,4.832,619.02,1.7027e-06,1.36e-05,p<0.001
acc_phon^[L*]H,acc_phonL*^[H],67.936,13.115,42.231,93.641,5.18,619.49,3.0061e-07,2.40e-06,p<0.001
acc_phon^[L*]H,acc_phon^[L*H],63.845,12.111,40.109,87.581,5.272,619.33,1.8684e-07,1.49e-06,p<0.001
acc_phonL*^[H],acc_phon^[L*H],-4.091,5.712,-15.286,7.104,-0.716,618.63,0.4741,0.9999,
