intercept,slope,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=8),signif. 
modeMDC,modeMWH,0.473,1.867,-3.187,4.133,0.253,604.42,0.8001,0.9999,
modeMDC,modeMYN,0.36,2.006,-3.572,4.292,0.18,607.39,0.8575,0.9999,
modeMDC,modeMDQ,-12.447,2.568,-17.479,-7.415,-4.848,612.64,1.5850e-06,1.27e-05,p<0.001
modeMWH,modeMYN,-0.113,2.007,-4.047,3.821,-0.056,607.78,0.9552,0.9999,
modeMWH,modeMDQ,-12.92,2.561,-17.939,-7.901,-5.046,612.69,5.9633e-07,4.77e-06,p<0.001
modeMYN,modeMDQ,-12.807,2.288,-17.292,-8.323,-5.597,613.74,3.2862e-08,2.63e-07,p<0.001
acc_phonL*H,acc_phon^[L*]H,-12.725,18.328,-48.647,23.197,-0.694,18.98,0.4959,0.9999,
acc_phonL*H,acc_phonL*^[H],-13,4.16,-21.154,-4.845,-3.125,11.78,0.009,0.0717,
acc_phonL*H,acc_phon^[L*H],-19.223,6.568,-32.095,-6.35,-2.927,9.88,0.0153,0.1225,
acc_phon^[L*]H,acc_phonL*^[H],-1.995,11.823,-25.167,21.177,-0.169,0,0.9957,0.9999,
acc_phon^[L*]H,acc_phon^[L*H],-8.218,11.711,-31.172,14.736,-0.702,0,0.9923,0.9999,
acc_phonL*^[H],acc_phon^[L*H],-6.223,7.622,-21.161,8.716,-0.816,9.24,0.4348,0.9999,
