code,speaker,gender,stim,rep,sent,metre_ID,stim_metre,tot_syls,ana_syls,tot_feet,cur_foot,foot_syls,wrd_end_syl,acc_phon,phr_phon,init_phon,fin_phon,v_text,phr_end_t,ana_end_t,foot_start_t,foot_end_t,stress_end_t,wrd_fin_syl_start_t,wrd_end_t,v_onset_t,v_offset_t,s_t,e_t,l_t,h_t,l_syl_start_t,l_syl_end_t,h_syl_start_t,h_syl_end_t,v_grand_mean_t,l_grand_mean_t,h_grand_mean_t,s_grand_mean_t,e_grand_mean_t,v_syl,l_syl,h_syl,s_f0,e_f0,v_onset_f0,l_f0,h_f0,slope_st,utt_mean_f0,utt_med_f0,f0_mean,f0_SD,location
F5_MDC1_r3,F5,F,MDC1,r3,i VALued the VASes,132,MDC1_132,6,1,2,1,3,2,H*,% H* L*H %,%,%,V,985,36,36,423,270,270,386,99,216,23,806,147,189,36,270,36,270,141,191,235,48,911,2,2,2,93.49,97.24,95.52,95.88,96.25,10.717,96.08,96.09,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC1_r3,F5,F,MDC1,r3,i VALued the VASes,132,MDC1_132,6,1,2,2,2,2,L*H,% H* L*H %,%,%,V,985,36,423,985,718,718,985,486,651,23,806,567,769,423,718,718,985,586,670,875,48,911,5,5,6,93.49,97.24,90.37,89.58,98.04,48.113,93.94,94.31,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC1_r4,F5,F,MDC1,r4,i VALued the VASes,132,MDC1_132,6,1,2,1,3,2,H*,% H* L*H %,%,%,V,1017,39,39,458,279,279,423,111,219,13,835,150,187,39,279,39,279,148,188,225,25,911,2,2,2,94.41,96.76,96.05,96.05,96.36,9.427,96.23,96.25,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC1_r4,F5,F,MDC1,r4,i VALued the VASes,132,MDC1_132,6,1,2,2,2,2,L*H,% H* L*H %,%,%,V,1017,39,458,1017,745,745,1017,522,687,13,835,595,791,458,745,745,1017,589,667,870,25,911,5,5,6,94.41,96.76,90.78,90.27,97.60,40.488,93.68,93.34,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC1_r6,F5,F,MDC1,r6,i VALed the VASes,132,MDC1_132,6,1,2,1,3,2,H*,% H* L*H %,%,%,V,943,23,23,394,240,240,343,75,179,6,766,120,169,23,240,23,240,133,184,239,20,904,2,2,2,92.00,95.50,93.41,94.21,94.71,10.333,94.52,94.55,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC1_r6,F5,F,MDC1,r6,i VALed the VASes,132,MDC1_132,6,1,2,2,2,2,L*H,% H* L*H %,%,%,V,943,23,394,943,689,689,943,431,612,6,766,531,728,394,689,689,943,559,663,866,20,904,5,5,6,92.00,95.50,91.20,90.14,96.21,34.474,93.03,93.02,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC1_r7,F5,F,MDC1,r7,i VALued the VASes,132,MDC1_132,6,1,2,1,3,2,H*,% H* L*H %,%,%,V,1012,39,39,444,268,268,389,95,210,13,819,149,182,39,268,39,268,135,192,227,25,908,2,2,2,92.94,95.92,94.48,95.00,95.12,3.763,95.07,95.08,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC1_r7,F5,F,MDC1,r7,i VALued the VASes,132,MDC1_132,6,1,2,2,2,2,L*H,% H* L*H %,%,%,V,1012,39,444,1012,729,729,1012,482,665,13,819,566,777,444,729,729,1012,562,652,870,25,908,5,5,6,92.94,95.92,91.40,90.52,97.11,36.94,93.65,93.86,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC1_r8,F5,F,MDC1,r8,i VALued the VASes,132,MDC1_132,6,1,2,1,3,2,H*,% H* L*H %,%,%,V,982,35,35,416,256,256,384,89,203,11,799,135,196,35,256,35,256,135,185,253,24,911,2,2,2,93.67,97.35,95.02,95.55,95.94,7.1,95.77,95.78,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC1_r8,F5,F,MDC1,r8,i VALued the VASes,132,MDC1_132,6,1,2,2,2,2,L*H,% H* L*H %,%,%,V,982,35,416,982,709,709,982,483,653,11,799,559,768,416,709,709,982,591,670,882,24,911,5,5,6,93.67,97.35,91.90,90.80,97.54,37.839,94.30,94.52,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC2_r3,F5,F,MDC2,r3,i LIVE in the VALLey,132,MDC2_132,6,1,2,1,3,1,H*,% H* L*H %,%,%,V,706,35,35,343,195,35,195,82,143,8,688,99,120,35,195,35,195,125,144,167,17,775,2,2,2,90.53,91.89,91.16,91.37,91.51,6.322,91.46,91.47,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC2_r3,F5,F,MDC2,r3,i LIVE in the VALLey,132,MDC2_132,6,1,2,2,2,2,L*H,% H* L*H %,%,%,V,706,35,343,706,578,578,706,394,534,8,688,508,638,343,578,578,706,455,573,716,17,775,5,5,6,90.53,91.89,87.47,85.81,92.79,64.596,88.99,88.78,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC2_r4,F5,F,MDC2,r4,i LIVE in the VALLey,132,MDC2_132,6,1,2,1,3,1,(*),% (*) L*H %,%,%,V,725,52,52,361,220,52,220,105,168,10,690,126,159,52,220,52,220,129,151,186,14,754,2,2,2,88.86,92.75,89.70,89.77,89.90,4.738,89.84,89.84,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC2_r4,F5,F,MDC2,r4,i LIVE in the VALLey,132,MDC2_132,6,1,2,2,2,2,L*H,% (*) L*H %,%,%,V ,725,52,361,725,599,599,725,405,556,10,690,507,649,361,599,599,725,447,551,705,14,754,5,5,6,88.86,92.75,87.21,85.54,93.30,67.498,89.22,89.06,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC2_r5,F5,F,MDC2,r5,i LIVE in the VALLey,132,MDC2_132,6,1,2,1,3,1,(*),% (*) L*H %,%,%,V,682,42,42,328,199,42,195,89,149,5,663,78,109,42,199,42,199,126,114,149,9,770,2,2,2,89.73,92.30,89.80,89.66,89.98,12.091,89.86,89.87,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC2_r5,F5,F,MDC2,r5,i LIVE in the VALLey,132,MDC2_132,6,1,2,2,2,2,L*H,% (*) L*H %,%,%,V,682,42,328,682,572,572,682,376,536,5,663,463,617,328,572,572,682,450,536,707,9,770,5,5,6,89.73,92.30,87.35,85.87,94.09,65.263,89.26,88.47,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
