intercept,slope,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=8),signif. 
modeMDC,modeMWH,0.007,0.129,-0.246,0.259,0.052,598.01,0.9588,0.9999,
modeMDC,modeMYN,0.926,0.136,0.659,1.193,6.789,598.05,2.7212e-11,2.18e-10,p<0.001
modeMDC,modeMDQ,1.022,0.176,0.676,1.367,5.789,598.2,1.1412e-08,9.13e-08,p<0.001
modeMWH,modeMYN,0.919,0.138,0.65,1.189,6.684,598.06,5.3499e-11,4.28e-10,p<0.001
modeMWH,modeMDQ,1.015,0.178,0.667,1.363,5.713,598.22,1.7475e-08,1.40e-07,p<0.001
modeMYN,modeMDQ,0.096,0.15,-0.199,0.391,0.636,598.12,0.525,0.9999,
acc_phonL*H,acc_phon^[L*]H,3.175,0.528,2.14,4.209,6.014,598.37,3.1564e-09,2.53e-08,p<0.001
acc_phonL*H,acc_phonL*^[H],1.053,0.255,0.553,1.553,4.128,598.36,4.1743e-05,3.34e-04,p<0.001
acc_phonL*H,acc_phon^[L*H],2.994,0.169,2.662,3.326,17.682,598.3,1.3335e-56,1.07e-55,p<0.001
acc_phon^[L*]H,acc_phonL*^[H],-2.121,0.569,-3.236,-1.006,-3.73,598.38,2.0998e-04,0.0017,p<0.01
acc_phon^[L*]H,acc_phon^[L*H],-0.181,0.52,-1.201,0.839,-0.347,598.33,0.7285,0.9999,
acc_phonL*^[H],acc_phon^[L*H],1.94,0.252,1.446,2.435,7.687,598.29,6.2213e-14,4.98e-13,p<0.001
