intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
modeMDC,6.047,5.2604562045724785,6.832580679963601,0.359,16.855,11.42,2.0e-09,3.5e-09,p<0.0001
modeMWH,6.243,5.456566774951549,7.028734949911872,0.359,17.401,11.42,1.4e-09,2.6e-09,p<0.0001
modeMYN,5.947,5.152466998934013,6.74126239241418,0.366,16.264,12.32,1.1e-09,2.1e-09,p<0.0001
modeMDQ,6.978,6.144418247356893,7.811236571844117,0.394,17.696,16.62,3.3e-12,6.9e-12,p<0.0001
acc_phonL*H,6.047,5.2604562045724785,6.832580679963601,0.359,16.855,11.42,2.0e-09,3.5e-09,p<0.0001
acc_phon^[L*]H,3.31,1.5541996587847942,5.0653845242334725,0.892,3.711,283.35,2.5e-04,3.6e-04,p<0.001
acc_phonL*^[H],9.674,8.69831032299736,10.650688566560474,0.482,20.09,36.48,2.6e-21,7.6e-20,p<0.0001
acc_phon^[L*H],7.247,6.345041416055004,8.148980781026603,0.438,16.541,25.19,4.9e-15,3.6e-14,p<0.0001
fin_phon%,6.047,5.2604562045724785,6.832580679963601,0.359,16.855,11.42,2.0e-09,3.5e-09,p<0.0001
fin_phonL%,5.476,4.6413807194251016,6.311400823674011,0.395,13.854,16.74,1.3e-10,2.6e-10,p<0.0001
fin_phon^[L%],6.365,5.453195874459113,7.276318335486587,0.444,14.338,26.53,5.2e-14,1.8e-13,p<0.0001
