intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
modeMDC,modeMWH,0.197,-0.09034864070443704,0.48345020198362054,0.146,1.345,606.87,0.179,0.237,
modeMDC,modeMYN,-0.101,-0.4173952823890372,0.21519745104635987,0.161,-0.628,607.74,0.53,0.605,
modeMDC,modeMDQ,0.955,0.5322793294824915,1.3773879714390342,0.215,4.438,577.9,1.1e-05,2.9e-05,p<0.0001
modeMWH,modeMYN,-0.298,-0.6149660484054065,0.01966665580473209,0.162,-1.842,607.93,0.066,0.096,
modeMWH,modeMDQ,0.758,0.33461662735558617,1.1819491125557686,0.216,3.515,577.3,4.7e-04,1.0e-03,p<0.001
modeMYN,modeMDQ,1.056,0.6189550545874434,1.4929100776493922,0.222,4.746,584.46,2.6e-06,7.5e-06,p<0.0001
acc_phonL*H,acc_phon^[L*]H,-2.832,-4.42415999083353,-1.2388962281909226,0.811,-3.492,609.54,5.1e-04,0.001,p<0.01
acc_phonL*H,acc_phonL*^[H],3.631,2.999018270255396,4.263329434549691,0.322,11.281,608.72,6.2e-27,9.4e-26,p<0.0001
acc_phonL*H,acc_phon^[L*H],1.185,0.6919119670653482,1.6778622988358307,0.251,4.72,612.25,2.9e-06,8.2e-06,p<0.0001
acc_phon^[L*]H,acc_phonL*^[H],6.463,4.8163044103559045,8.109099513196535,0.838,7.709,609.54,5.2e-14,3.0e-13,p<0.0001
acc_phon^[L*]H,acc_phon^[L*H],4.016,2.446028284331442,5.586802200321541,0.8,5.023,610.63,6.7e-07,2.0e-06,p<0.0001
acc_phonL*^[H],acc_phon^[L*H],-2.446,-3.074593163023639,-1.8179802760175063,0.32,-7.646,611.06,8.1e-14,4.5e-13,p<0.0001
