intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
modeMDC,92.469,89.44374520716482,95.49372391410532,1.341,68.977,9.15,9.5e-14,2.1e-13,p<0.0001
modeMWH,92.887,89.8618841204521,95.91199027383864,1.341,69.285,9.15,9.1e-14,2.1e-13,p<0.0001
modeMYN,93.596,90.56896886676547,96.62305101215324,1.343,69.701,9.21,7.3e-14,2.0e-13,p<0.0001
modeMDQ,94.745,91.70507259712971,97.78591327676163,1.357,69.821,9.61,2.5e-14,1.2e-13,p<0.0001
acc_phonL*H,92.469,89.44374520716482,95.49372391410532,1.341,68.977,9.15,9.5e-14,2.1e-13,p<0.0001
acc_phon^[L*]H,92.244,88.66702116036846,95.82195679179108,1.74,53.027,25.75,8.0e-28,9.4e-26,p<0.0001
acc_phonL*^[H],96.044,92.94902514420949,99.13838609789563,1.408,68.205,11.14,5.9e-16,9.9e-15,p<0.0001
acc_phon^[L*H],96.053,92.98322110151106,99.12323449795288,1.386,69.308,10.45,2.9e-15,2.8e-14,p<0.0001
fin_phon%,92.469,89.44374520716482,95.49372391410532,1.341,68.977,9.15,9.5e-14,2.1e-13,p<0.0001
fin_phonL%,92.155,89.11277793334708,95.19627069734796,1.358,67.845,9.64,3.0e-14,1.3e-13,p<0.0001
fin_phon^[L%],95.529,92.45838456813732,98.598719564019,1.386,68.922,10.46,3.1e-15,2.8e-14,p<0.0001
