intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
modeMDC,modeMWH,0.417,0.03276982258686517,0.8021819093898077,0.196,2.131,609.98,0.033,0.054,
modeMDC,modeMYN,1.129,0.7032559071900891,1.555186394761667,0.217,5.206,610.06,2.6e-07,1.0e-06,p<0.0001
modeMDC,modeMDQ,2.3,1.7262072043481482,2.8737714854497383,0.292,7.872,611.8,1.6e-14,1.0e-13,p<0.0001
modeMWH,modeMYN,0.712,0.2849437009602896,1.1385468689888445,0.217,3.275,610.1,0.001,0.002,p<0.01
modeMWH,modeMDQ,1.883,1.3076358447152965,2.45739111245369,0.293,6.431,611.84,2.6e-10,1.1e-09,p<0.0001
modeMYN,modeMDQ,1.171,0.5778582074716079,1.7636781804817223,0.302,3.878,611.64,1.2e-04,3.6e-04,p<0.001
acc_phonL*H,acc_phon^[L*]H,-0.273,-2.4228532091198622,1.8767020957472256,1.095,-0.249,610.98,0.803,0.907,
acc_phonL*H,acc_phonL*^[H],3.577,2.724813639928059,4.428730305627349,0.434,8.245,610.17,1.0e-15,7.5e-15,p<0.0001
acc_phonL*H,acc_phon^[L*H],3.568,2.902796566297829,4.233632270851025,0.339,10.531,610.69,6.1e-24,8.3e-23,p<0.0001
acc_phon^[L*]H,acc_phonL*^[H],3.85,1.627266950415755,6.072428105850641,1.132,3.402,611,7.1e-04,0.002,p<0.01
acc_phon^[L*]H,acc_phon^[L*H],3.841,1.7225676832151011,5.960012265341218,1.079,3.561,610.77,4.0e-04,0.001,p<0.01
acc_phonL*^[H],acc_phon^[L*H],-0.009,-0.8560207301947931,0.8389056221905757,0.432,-0.02,610.48,0.984,0.984,
