intercept,estimate,conf.low,conf.high,std.error,z.value,df,p.value,p.adj (BH),signif.
modeMDC,318.656,233.7292077063169,403.58206400876674,26.136,12.192,2.89,0.001,0.002,p<0.01
modeMWH,318.2,233.2772223899904,403.1236465233382,26.136,12.175,2.89,0.001,0.002,p<0.01
modeMYN,318.551,233.738037021696,403.36353359021695,26.161,12.176,2.91,0.001,0.002,p<0.01
modeMDQ,302.82,218.6971513987036,386.9420184990626,26.324,11.504,2.98,0.001,0.002,p<0.01
acc_phonL*H,318.656,233.7292077063169,403.58206400876674,26.136,12.192,2.89,0.001,0.002,p<0.01
acc_phon^[L*]H,269.745,192.98927192026585,346.5014455253763,30.951,8.715,5.69,1.7e-04,2.3e-04,p<0.001
acc_phonL*^[H],317.513,235.54679878077312,399.478957018575,26.921,11.794,3.26,8.8e-04,0.001,p<0.01
acc_phon^[L*H],318.194,235.35057408878623,401.03646077757634,26.659,11.936,3.13,0.001,0.001,p<0.01
fin_phon%,318.656,233.7292077063169,403.58206400876674,26.136,12.192,2.89,0.001,0.002,p<0.01
fin_phonL%,265.982,181.96102620996575,350.0023879407547,26.349,10.095,2.99,0.002,0.002,p<0.01
fin_phon^[L%],298.402,215.5550558184204,381.2496202622235,26.658,11.194,3.13,0.001,0.002,p<0.01
