intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
modeMDC,modeMWH,-0.451,-6.192065322998874,5.2894011087549115,2.923,-0.154,608.04,0.877,0.938,
modeMDC,modeMYN,-0.079,-6.435593049788113,6.2766427277463785,3.237,-0.025,608.29,0.98,0.984,
modeMDC,modeMDQ,-15.894,-24.463450460133657,-7.324949110830186,4.363,-3.643,610.35,2.9e-04,8.0e-04,p<0.001
modeMWH,modeMYN,0.372,-5.996404558977389,6.740118446160853,3.243,0.115,608.4,0.909,0.938,
modeMWH,modeMDQ,-15.443,-24.0269251197084,-6.858810246574343,4.371,-3.533,610.44,4.4e-04,0.001,p<0.01
modeMYN,modeMDQ,-15.815,-24.66702140098296,-6.96242784827054,4.508,-3.508,610.03,4.8e-04,0.001,p<0.01
acc_phonL*H,acc_phon^[L*]H,-49.882,-82.04481643850274,-17.719109933926532,16.377,-3.046,609.57,0.002,0.004,p<0.01
acc_phonL*H,acc_phonL*^[H],-0.861,-13.62024789317022,11.898352862011816,6.497,-0.133,608.67,0.895,0.938,
acc_phonL*H,acc_phon^[L*H],-0.606,-10.544624522024556,9.332736582893254,5.061,-0.12,609.58,0.905,0.938,
acc_phon^[L*]H,acc_phonL*^[H],49.021,15.837034689771976,82.20499666347058,16.897,2.901,609.64,0.004,0.007,p<0.01
acc_phon^[L*]H,acc_phon^[L*H],49.276,17.57663645969192,80.9754019823221,16.141,3.053,609.27,0.002,0.004,p<0.01
acc_phonL*^[H],acc_phon^[L*H],0.255,-12.430447450321806,12.940454542958753,6.459,0.039,609.22,0.969,0.984,
