intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
modeMDC,86.741,83.93356311006717,89.54871438678028,1.243,69.796,9.08,1.0e-13,2.1e-13,p<0.0001
modeMWH,86.828,84.01991713674445,89.63525359474735,1.243,69.86,9.08,1.0e-13,2.1e-13,p<0.0001
modeMYN,87.928,85.11959579759151,90.73677298805104,1.244,70.687,9.11,8.4e-14,2.1e-13,p<0.0001
modeMDQ,87.77,84.9539679150072,90.5865811916017,1.252,70.087,9.36,4.7e-14,1.8e-13,p<0.0001
acc_phonL*H,86.741,83.93356311006717,89.54871438678028,1.243,69.796,9.08,1.0e-13,2.1e-13,p<0.0001
acc_phon^[L*]H,89.647,86.57842950055365,92.7160915728281,1.455,61.632,17,2.0e-21,7.6e-20,p<0.0001
acc_phonL*^[H],87.45,84.60615498491157,90.29367937077733,1.28,68.324,10.22,6.3e-15,4.1e-14,p<0.0001
acc_phon^[L*H],89.478,86.64770961226624,92.30862340844632,1.267,70.626,9.81,1.3e-14,7.6e-14,p<0.0001
fin_phon%,86.741,83.93356311006717,89.54871438678028,1.243,69.796,9.08,1.0e-13,2.1e-13,p<0.0001
fin_phonL%,87.141,84.32540092270058,89.95700228960168,1.252,69.616,9.34,5.2e-14,1.8e-13,p<0.0001
fin_phon^[L%],88.766,85.93333850672535,91.59906431264125,1.269,69.932,9.88,1.2e-14,7.4e-14,p<0.0001
