intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
modeMDC,modeMWH,0.086,-0.1768765260108972,0.34847181794080917,0.134,0.641,598.97,0.521,0.614,
modeMDC,modeMYN,1.188,0.8978938026155541,1.4777286068392412,0.148,8.046,599.01,4.6e-15,3.3e-14,p<0.0001
modeMDC,modeMDQ,1.042,0.6374371842622704,1.4461521942798978,0.206,5.06,600.46,5.6e-07,2.0e-06,p<0.0001
modeMWH,modeMYN,1.102,0.8107614745472035,1.3932656436681072,0.148,7.431,599.04,3.7e-13,2.0e-12,p<0.0001
modeMWH,modeMDQ,0.956,0.5499748614052884,1.3620192290755115,0.207,4.624,600.49,4.6e-06,1.6e-05,p<0.0001
modeMYN,modeMDQ,-0.146,-0.5624916778057827,0.27045862560104883,0.212,-0.689,600.35,0.491,0.586,
acc_phonL*H,acc_phon^[L*]H,2.88,1.414351926302288,4.345694957335247,0.746,3.859,600,1.3e-04,4.0e-04,p<0.001
acc_phonL*H,acc_phonL*^[H],0.716,0.1098105591636317,1.3228377311159112,0.309,2.32,599.23,0.021,0.035,p<0.05
acc_phonL*H,acc_phon^[L*H],2.733,2.2651751197030703,3.2012938559993613,0.238,11.468,599.18,1.2e-27,2.0e-26,p<0.0001
acc_phon^[L*]H,acc_phonL*^[H],-2.164,-3.6806370499734777,-0.6467615549806132,0.772,-2.801,600.2,0.005,0.009,p<0.01
acc_phon^[L*]H,acc_phon^[L*H],-0.147,-1.5892615115800546,1.2956835949843313,0.734,-0.2,599.91,0.842,0.937,
acc_phonL*^[H],acc_phon^[L*H],2.017,1.4314375289507262,2.6023831583079606,0.298,6.766,599.44,3.2e-11,1.5e-10,p<0.0001
