intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
modeMDC,modeMWH,0.325,-3.5449395705412465,4.194319575857345,1.97,0.165,604.93,0.869,0.942,
modeMDC,modeMYN,2.068,-2.2250529520495563,6.3616380615155395,2.186,0.946,605.15,0.344,0.457,
modeMDC,modeMDQ,-20.366,-26.08770197471119,-14.644848123696155,2.913,-6.992,569.44,7.6e-12,3.2e-11,p<0.0001
modeMWH,modeMYN,1.744,-2.5541235585089623,6.041328663158158,2.188,0.797,605.33,0.426,0.54,
modeMWH,modeMDQ,-20.691,-26.419836528801255,-14.962093564185489,2.917,-7.094,568.01,3.9e-12,1.7e-11,p<0.0001
modeMYN,modeMDQ,-22.435,-28.356812442248017,-16.512322761843855,3.015,-7.44,578.39,3.7e-13,1.7e-12,p<0.0001
acc_phonL*H,acc_phon^[L*]H,13.842,-7.728676101643639,35.411761488235825,10.983,1.26,606.73,0.208,0.29,
acc_phonL*H,acc_phonL*^[H],-4.063,-12.642749400566307,4.516234538276452,4.369,-0.93,607.47,0.353,0.462,
acc_phonL*H,acc_phon^[L*H],-2.019,-8.699173073374265,4.660793181094341,3.401,-0.594,608.59,0.553,0.653,
acc_phon^[L*]H,acc_phonL*^[H],-17.905,-40.173241334541274,4.363649116708167,11.339,-1.579,605.26,0.115,0.175,
acc_phon^[L*]H,acc_phon^[L*H],-15.861,-37.137151826048594,5.415690076262193,10.834,-1.464,608.38,0.144,0.211,
acc_phonL*^[H],acc_phon^[L*H],2.044,-6.47979594434619,10.567923623050524,4.34,0.471,609.01,0.638,0.743,
