intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
modeMDC,89.212,86.39059903403347,92.03293683791208,1.251,71.323,9.18,6.5e-14,2.0e-13,p<0.0001
modeMWH,89.511,86.68973330277831,92.33214009229042,1.251,71.56,9.18,6.3e-14,2.0e-13,p<0.0001
modeMYN,90.522,87.699844499418,93.34467559771916,1.252,72.292,9.22,5.2e-14,1.8e-13,p<0.0001
modeMDQ,90.763,87.93110141040397,93.59453355342004,1.262,71.915,9.51,2.4e-14,1.2e-13,p<0.0001
acc_phonL*H,89.212,86.39059903403347,92.03293683791208,1.251,71.323,9.18,6.5e-14,2.0e-13,p<0.0001
acc_phon^[L*]H,90.24,87.09204487814414,93.38789621741287,1.505,59.964,19.17,2.8e-23,1.6e-21,p<0.0001
acc_phonL*^[H],91.416,88.54867031095812,94.28388849009882,1.297,70.48,10.61,1.6e-15,1.7e-14,p<0.0001
acc_phon^[L*H],92.396,89.54654908255557,95.24574229805955,1.28,72.181,10.07,5.3e-15,3.6e-14,p<0.0001
fin_phon%,89.212,86.39059903403347,92.03293683791208,1.251,71.323,9.18,6.5e-14,2.0e-13,p<0.0001
fin_phonL%,89.446,86.61457334916278,92.27839473457117,1.262,70.862,9.52,2.8e-14,1.3e-13,p<0.0001
fin_phon^[L%],91.554,88.70105741794335,94.40634054919455,1.283,71.358,10.16,4.7e-15,3.6e-14,p<0.0001
