intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
modeMDC,modeMWH,0.299,0.00977706662334404,0.5885604564900202,0.147,2.03,598,0.043,0.062,
modeMDC,modeMYN,1.31,0.9900422347218248,1.630941990557344,0.163,8.032,598.07,5.1e-15,3.6e-14,p<0.0001
modeMDC,modeMDQ,1.551,1.1068605236208884,1.99523856822343,0.226,6.858,598.55,1.7e-11,8.3e-11,p<0.0001
modeMWH,modeMYN,1.011,0.6902503702018867,1.332396331965828,0.163,6.186,598.08,1.1e-09,4.2e-09,p<0.0001
modeMWH,modeMDQ,1.252,0.8069150895371331,1.696846479198958,0.227,5.525,598.51,4.9e-08,1.7e-07,p<0.0001
modeMYN,modeMDQ,0.241,-0.2172668471199672,0.6983817136816941,0.233,1.032,598.37,0.303,0.358,
acc_phonL*H,acc_phon^[L*]H,1.028,-0.5950443922276669,2.651449615727951,0.827,1.244,599.67,0.214,0.264,
acc_phonL*H,acc_phonL*^[H],2.205,1.5256460183156544,2.883376910924072,0.346,6.378,599.33,3.6e-10,1.5e-09,p<0.0001
acc_phonL*H,acc_phon^[L*H],3.184,2.668014387507311,3.700741121175988,0.263,12.111,598.76,2.4e-30,5.8e-29,p<0.0001
acc_phon^[L*]H,acc_phonL*^[H],1.176,-0.5055874209062727,2.858205126534348,0.856,1.374,598.95,0.17,0.219,
acc_phon^[L*]H,acc_phon^[L*H],2.156,0.557694645286055,3.754655639730655,0.814,2.649,599.84,0.008,0.012,p<0.05
acc_phonL*^[H],acc_phon^[L*H],0.98,0.31823076208360357,1.6415018173534113,0.337,2.909,599.72,0.004,0.007,p<0.01
fin_phon%,fin_phonL%,0.235,-0.15596170261983128,0.6253939143932126,0.199,1.18,578.46,0.238,0.287,
fin_phon%,fin_phon^[L%],2.342,1.7743610102325211,2.9095010849981913,0.289,8.104,598.44,3.0e-15,2.3e-14,p<0.0001
fin_phonL%,fin_phon^[L%],2.107,1.4679264614202108,2.7465034220151834,0.326,6.473,599.85,2.0e-10,8.5e-10,p<0.0001
intercept,genderM,-7.287,-11.463317522066422,-3.110805564012318,1.846,-3.947,9,0.003,0.005,p<0.01
