intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
modeMDC,31.216,16.093530611919075,46.33944010595144,5.315,5.873,3.77,0.005,0.005,p<0.01
modeMWH,33.115,17.991220621956217,48.23859771812805,5.315,6.23,3.77,0.004,0.004,p<0.01
modeMYN,31.606,16.50355310364717,46.70922012365626,5.326,5.935,3.8,0.005,0.005,p<0.01
modeMDQ,36.551,21.57580729135106,51.5270972909503,5.398,6.771,4.01,0.002,0.002,p<0.01
acc_phonL*H,31.216,16.093530611919075,46.33944010595144,5.315,5.873,3.77,0.005,0.005,p<0.01
acc_phon^[L*]H,17.98,2.3144926903733563,33.64649913760192,7.25,2.48,12.98,0.028,0.029,p<0.05
acc_phonL*^[H],49.529,34.83161309031325,64.22721998380862,5.651,8.765,4.81,3.9e-04,5.5e-04,p<0.001
acc_phon^[L*H],36.279,21.48948477802928,51.06893839374436,5.542,6.546,4.45,0.002,0.002,p<0.01
fin_phon%,31.216,16.093530611919075,46.33944010595144,5.315,5.873,3.77,0.005,0.005,p<0.01
fin_phonL%,35.371,20.40783602316656,50.33367071776096,5.407,6.542,4.03,0.003,0.003,p<0.01
fin_phon^[L%],33.395,18.60274061735467,48.18814582680386,5.539,6.029,4.44,0.003,0.003,p<0.01
