intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
modeMDC,modeMWH,1.898,0.18321353670334073,3.6136340859872695,0.873,2.174,603.06,0.03,0.044,p<0.05
modeMDC,modeMYN,0.39,-1.5025188099204592,2.2823213209417625,0.964,0.405,603.43,0.686,0.743,
modeMDC,modeMDQ,5.335,2.76923870352156,7.900695168971136,1.306,4.084,604.58,5.0e-05,1.3e-04,p<0.001
modeMWH,modeMYN,-1.509,-3.401255937079788,0.38421082413177854,0.964,-1.565,603.54,0.118,0.158,
modeMWH,modeMDQ,3.437,0.8676097670912037,6.0054764749034,1.308,2.627,604.74,0.009,0.014,p<0.05
modeMYN,modeMDQ,4.945,2.299553904429651,7.590577451183673,1.347,3.671,604.28,2.6e-04,6.1e-04,p<0.001
acc_phonL*H,acc_phon^[L*]H,-13.236,-22.798297199730364,-3.6736816895591833,4.869,-2.718,604.9,0.007,0.011,p<0.05
acc_phonL*H,acc_phonL*^[H],18.313,14.515410496463453,22.110451847592884,1.934,9.471,604.76,6.2e-20,7.0e-19,p<0.0001
acc_phonL*H,acc_phon^[L*H],5.063,2.100234743254211,8.025217681810076,1.508,3.356,605.29,8.4e-04,0.002,p<0.01
acc_phon^[L*]H,acc_phonL*^[H],31.549,21.684367173216096,41.41347408309203,5.023,6.281,604.98,6.4e-10,2.5e-09,p<0.0001
acc_phon^[L*]H,acc_phon^[L*H],18.299,8.882061971542917,27.71536935945567,4.795,3.816,604.95,1.5e-04,3.9e-04,p<0.001
acc_phonL*^[H],acc_phon^[L*H],-13.25,-17.019171440458077,-9.481238481929305,1.919,-6.904,604.75,1.3e-11,6.5e-11,p<0.0001
fin_phon%,fin_phonL%,4.154,1.8767441377933152,6.43179188881672,1.16,3.582,611.4,3.7e-04,8.4e-04,p<0.001
fin_phon%,fin_phon^[L%],2.179,-0.9402102672675788,5.298125991343362,1.588,1.372,606.07,0.171,0.219,
fin_phonL%,fin_phon^[L%],-1.975,-5.518607726833948,1.5679874265844305,1.804,-1.095,606.23,0.274,0.327,
intercept,genderM,3.821,-5.549387201542378,13.192116432643246,4.145,0.922,9.03,0.381,0.441,
