intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
modeMDC,modeMWH,0.407,-0.02804576629797367,0.8424195946508588,0.222,1.837,616.01,0.067,0.093,
modeMDC,modeMYN,1.716,1.2785617923729728,2.1525377152997027,0.223,7.71,616.01,5.1e-14,3.1e-13,p<0.0001
modeMDC,modeMDQ,4.494,4.025632969864392,4.962629483840483,0.239,18.838,616.23,7.3e-63,1.2e-60,p<0.0001
modeMWH,modeMYN,1.308,0.871990603211861,1.7447350761052152,0.222,5.888,616.04,6.4e-09,2.4e-08,p<0.0001
modeMWH,modeMDQ,4.087,3.6176137679053375,4.556274857437216,0.239,17.101,616.29,6.1e-54,5.2e-52,p<0.0001
modeMYN,modeMDQ,2.779,2.3209724052439964,3.2361905407873937,0.233,11.924,616.15,1.2e-29,2.6e-28,p<0.0001
fin_phon%,fin_phonL%,-0.525,-1.0701355719459067,0.02017454004986774,0.278,-1.891,618.99,0.059,0.083,
fin_phon%,fin_phon^[L%],3.006,2.227854661679536,3.784765974560128,0.396,7.584,616.89,1.2e-13,7.0e-13,p<0.0001
fin_phonL%,fin_phon^[L%],3.531,2.665552714140304,4.397028953995435,0.441,8.01,617,5.7e-15,3.9e-14,p<0.0001
intercept,genderM,-6.681,-11.124937614733584,-2.236668106986217,1.964,-3.401,8.99,0.008,0.012,p<0.05
