intercept,slope,estimate,conf.low,conf.high,std.error,z.value,df,p.value,p.adj (BH),signif.
modeMDC,modeMWH,-0.379,-6.182930576334037,5.424852077318551,2.955,-0.128,613.03,0.898,0.929,
modeMDC,modeMYN,-2.453,-8.289711536461674,3.384068187189749,2.972,-0.825,613.04,0.41,0.476,
modeMDC,modeMDQ,-16.753,-23.001607503813226,-10.504469938139689,3.182,-5.265,613.64,1.9e-07,5.7e-07,p<0.0001
modeMWH,modeMYN,-2.074,-7.902790519405677,3.7552256693699193,2.968,-0.699,613.12,0.485,0.547,
modeMWH,modeMDQ,-16.374,-22.633873772440197,-10.11412517035685,3.188,-5.137,613.81,3.8e-07,1.1e-06,p<0.0001
modeMYN,modeMDQ,-14.3,-20.414687812079716,-8.185746280647798,3.114,-4.593,613.43,5.3e-06,1.4e-05,p<0.0001
fin_phon%,fin_phonL%,-56.525,-64.06057108975385,-48.99008729640301,3.837,-14.731,620.18,2.5e-42,1.3e-40,p<0.0001
fin_phon%,fin_phon^[L%],-20.725,-31.109759542093876,-10.340945847072271,5.288,-3.919,615.33,9.9e-05,2.4e-04,p<0.001
fin_phonL%,fin_phon^[L%],35.8,24.11939338500311,47.48055961123085,5.948,6.019,615.85,3.0e-09,1.0e-08,p<0.0001
intercept,genderM,-59.894,-95.90049445237462,-23.888474657844185,15.913,-3.764,8.99,0.004,0.007,p<0.01
