intercept,slope,estimate,conf.low,conf.high,std.error,z.value,df,p.value,p.adj (BH),signif.
modeMDC,modeMWH,0.125,-0.18572729448895908,0.4358286969610259,0.158,0.79,611,0.43,0.496,
modeMDC,modeMYN,1.619,1.306687575577787,1.930809934986827,0.159,10.187,611.01,1.3e-22,1.6e-21,p<0.0001
modeMDC,modeMDQ,2.47,2.1324449019099587,2.80667903590939,0.172,14.386,611.15,1.3e-40,4.7e-39,p<0.0001
modeMWH,modeMYN,1.494,1.1820682046246014,1.8053279034708136,0.159,9.413,611.02,9.7e-20,9.0e-19,p<0.0001
modeMWH,modeMDQ,2.345,2.006757181272998,2.682265354083901,0.172,13.632,611.19,3.9e-37,1.2e-35,p<0.0001
modeMYN,modeMDQ,0.851,0.5215861542656455,1.1800402729957395,0.168,5.075,611.1,5.1e-07,1.4e-06,p<0.0001
fin_phon%,fin_phonL%,0.568,0.17694498469298564,0.9600398208239728,0.199,2.851,612.99,0.005,0.007,p<0.01
fin_phon%,fin_phon^[L%],2.707,2.138920478737269,3.2758835420679553,0.289,9.353,611.52,1.6e-19,1.4e-18,p<0.0001
fin_phonL%,fin_phon^[L%],2.139,1.508932094822673,2.768887120479161,0.321,6.668,611.61,5.8e-11,2.2e-10,p<0.0001
intercept,genderM,-7.423,-11.44260834496012,-3.40421147686068,1.777,-4.179,8.99,0.002,0.004,p<0.01
