intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
modeMDC,modeMWH,0.408,-3.529380569175166,4.34521384515255,2.005,0.203,611.01,0.839,0.886,
modeMDC,modeMYN,-2.204,-6.1699239590979325,1.761269237396495,2.019,-1.092,611.09,0.275,0.327,
modeMDC,modeMDQ,-20.642,-24.87996211956319,-16.404457089989727,2.158,-9.566,612.03,2.7e-20,3.3e-19,p<0.0001
modeMWH,modeMYN,-2.612,-6.5661583149731015,1.3416703173774711,2.013,-1.297,611.25,0.195,0.244,
modeMWH,modeMDQ,-21.05,-25.28862265952742,-16.811629825803855,2.158,-9.753,612.37,5.5e-21,7.2e-20,p<0.0001
modeMYN,modeMDQ,-18.438,-22.581252493881607,-14.294511994042182,2.11,-8.739,611.53,2.3e-17,2.2e-16,p<0.0001
fin_phon%,fin_phonL%,-3.461,-8.551507067210832,1.6293676999391309,2.592,-1.335,561.91,0.182,0.229,
fin_phon%,fin_phon^[L%],-14.631,-21.66107163297413,-7.601413205000275,3.58,-4.087,615,4.9e-05,1.3e-04,p<0.001
fin_phonL%,fin_phon^[L%],-11.17,-19.10037150646552,-3.2399733035826888,4.038,-2.766,613.72,0.006,0.009,p<0.01
intercept,genderM,-53.559,-73.670133456612,-33.44776930224265,8.886,-6.027,8.97,2.0e-04,4.9e-04,p<0.001
