intercept,slope,estimate,std.error,2.5% CI,97.5% CI,z.value,df,p.value
modeMDC,modeMWH,1.794,1.945,-2.017,5.605,0.923,9.97,0.3780450086546666
modeMDC,modeMYN,0.949,1.658,-2.301,4.199,0.572,9.78,0.5800290601897018
modeMDC,modeMDQ,10.238,2.382,5.569,14.906,4.298,9.03,0.0019806533942216637
modeMWH,modeMYN,-0.845,2.776,-6.285,4.595,-0.304,9.96,0.7670964223045937
modeMWH,modeMDQ,8.444,2.689,3.173,13.715,3.14,9.41,0.01130594369356473
modeMYN,modeMDQ,9.289,1.921,5.524,13.054,4.835,9.5,7.938184947482541e-4
prompt1,prompt2,10.204,0.79,8.654,11.753,12.908,588.89,9.605826306786338e-34
prompt1,prompt3,-5.219,0.804,-6.794,-3.644,-6.495,592.41,1.7596831740091396e-10
prompt2,prompt3,-15.422,0.792,-16.974,-13.871,-19.479,588.68,1.3496098999542679e-65
intercept,fin_phonL%,-0.913,1.264,-3.391,1.565,-0.722,574.2792634787877,0.47038297541906904
