slope,intercept,estimate,std.error,2.5% CI,97.5% CI,z.value,df,p.value,p.adj (BH),signif.
modeMWH,modeMDC,0.385,0.172,0.049,0.722,2.247,593.62,0.025,0.0338,p<0.05
modeMYN,modeMDC,1.16,0.191,0.786,1.534,6.077,594.55,2.19e-09,8.55e-09,p<0.0001
modeMDQ,modeMDC,1.564,0.277,1.02,2.107,5.638,597.54,2.66e-08,8.87e-08,p<0.0001
modeMYN,modeMWH,0.774,0.192,0.399,1.15,4.039,594.83,6.07e-05,1.37e-04,p<0.001
modeMDQ,modeMWH,1.178,0.278,0.633,1.723,4.239,597.67,2.60e-05,6.07e-05,p<0.0001
modeMDQ,modeMYN,0.404,0.285,-0.154,0.962,1.419,596.67,0.1565,0.1996,
acc_phon^[L*]H,acc_phonL*H,0.456,1.813,-3.098,4.01,0.251,32.07,0.8031,0.8806,
acc_phonL*^[H],acc_phonL*H,5.256,0.751,3.784,6.727,7.001,5.64,5.52e-04,0.0011,p<0.01
acc_phon^[L*H],acc_phonL*H,5.078,0.719,3.668,6.488,7.06,11.9,1.38e-05,3.42e-05,p<0.0001
acc_phonL*^[H],acc_phon^[L*]H,4.602,1.493,1.675,7.529,3.082,0,0.9995,1,
acc_phon^[L*H],acc_phon^[L*]H,4.425,1.394,1.692,7.157,3.174,0,0.9996,1,
acc_phon^[L*H],acc_phonL*^[H],-0.178,0.947,-2.033,1.678,-0.188,7.83,0.856,0.9264,
