term,estimate,std.error,2.5% CI,97.5% CI,z.value,df,p.value
(Intercept),5.993,0.394,5.22,6.766,15.202,1.16,0.027896098286139218
acc_phon\^\[L\*]H,-2.822,0.824,-4.438,-1.207,-3.424,607.32,6.58996812147608e-4
acc_phonL\*\^\[H],3.672,0.344,2.997,4.346,10.672,607.47,1.7412535293794475e-24
acc_phon\^\[L\*H],0.985,0.266,0.463,1.506,3.701,608.84,2.3418082355531404e-4
modeMWH,0.179,0.148,-0.11,0.468,1.215,605.04,0.2247613056200471
modeMYN,-0.103,0.163,-0.422,0.216,-0.633,605.76,0.5270709043206374
modeMDQ,0.984,0.236,0.522,1.446,4.176,607.77,3.401582449532301e-5
fin_phonL%,-0.633,0.193,-1.011,-0.255,-3.283,613.25,0.0010853952895358782
prompt2,0.135,0.13,-0.121,0.391,1.036,605.27,0.3008434809169478
prompt3,0.072,0.132,-0.187,0.331,0.545,605.72,0.5861700344622387
acc_phonL\*\^\[H]:modeMWH,-1.235,1.368,-3.917,1.446,-0.903,605.47,0.3669299691025859
acc_phon\^\[L\*]H:modeMYN,0.154,1.097,-1.997,2.304,0.14,605.12,0.8885269979989119
acc_phonL\*\^\[H]:modeMYN,-0.429,0.69,-1.781,0.922,-0.623,605.43,0.5338009847739635
acc_phon\^\[L\*H]:modeMYN,-0.485,0.364,-1.198,0.227,-1.335,607.55,0.18249903413697846
