term,estimate,std.error,2.5% CI,97.5% CI,z.value,df,p.value
(Intercept),88.939,3.593,81.896,95.981,24.75,1,0.02546341401498649
acc_phon\^\[L\*]H,0.583,1.064,-1.504,2.669,0.547,608.36,0.5842553246020965
acc_phonL\*\^\[H],5.069,0.445,4.197,5.942,11.393,608.52,2.168518869029019e-27
acc_phon\^\[L\*H],5.016,0.344,4.341,5.69,14.57,608.69,1.80857232223076e-41
modeMWH,0.389,0.19,0.017,0.761,2.05,608.01,0.04080774765789932
modeMYN,1.079,0.21,0.667,1.492,5.13,608.09,3.9057545876445225e-7
modeMDQ,1.497,0.305,0.899,2.094,4.909,608.51,1.174510735195971e-6
fin_phonL%,-0.494,0.25,-0.985,-0.004,-1.974,610.29,0.048783363644076594
prompt2,0.102,0.168,-0.228,0.431,0.604,608.06,0.5461375103131141
prompt3,0.062,0.17,-0.271,0.396,0.366,608.16,0.7141853198575071
acc_phonL\*\^\[H]:modeMWH,-1.432,1.768,-4.897,2.034,-0.81,608.09,0.41841491537529496
acc_phon\^\[L\*]H:modeMYN,-0.413,1.418,-3.192,2.366,-0.291,608.02,0.7710784070347492
acc_phonL\*\^\[H]:modeMYN,-1.802,0.891,-3.548,-0.055,-2.022,608.09,0.04364845293544193
acc_phon\^\[L\*H]:modeMYN,-2.316,0.47,-3.237,-1.395,-4.928,608.51,1.0741087171348317e-6
