term,estimate,std.error,2.5% CI,97.5% CI,z.value,df,p.value
(Intercept),286.919,28.713,230.643,343.196,9.993,1.01,0.0618255588047048
acc_phon\^\[L\*]H,-73.121,12.197,-97.026,-49.216,-5.995,614.54,3.465867919167324e-9
acc_phonL\*\^\[H],-4.754,5.789,-16.1,6.592,-0.821,614.27,0.41183307201109
acc_phon\^\[L\*H],-8.784,3.836,-16.303,-1.265,-2.29,614.17,0.02238227461947254
modeMWH,-0.371,2.954,-6.16,5.419,-0.125,612.02,0.9001963527254784
modeMYN,-0.566,3.138,-6.717,5.585,-0.18,612.32,0.8569687534138192
modeMDQ,-14.12,3.994,-21.947,-6.292,-3.535,613.3,4.380204528275486e-4
fin_phonL%,-50.314,3.887,-57.932,-42.695,-12.944,618.72,4.380583138072516e-34
prompt2,-36.937,2.616,-42.064,-31.81,-14.121,612.18,2.1380607006188694e-39
prompt3,44.941,2.647,39.753,50.13,16.977,612.54,2.9059293971388525e-53
