term,estimate,std.error,2.5% CI,97.5% CI,z.value,df,p.value
(Intercept),82.879,3.98,75.077,90.68,20.822,1,0.030437708068962822
acc_phon\^\[L\*]H,3.742,0.768,2.238,5.247,4.875,603.22,1.391571852178025e-6
acc_phonL\*\^\[H],1.617,0.322,0.986,2.248,5.023,603.33,6.71351639547291e-7
acc_phon\^\[L\*H],4.021,0.252,3.527,4.514,15.965,603.41,4.0331510138704177e-48
modeMWH,0.102,0.137,-0.166,0.37,0.743,603.01,0.45769497651245117
modeMYN,1.142,0.151,0.845,1.438,7.545,603.06,1.6720179220158672e-13
modeMDQ,0.343,0.222,-0.092,0.778,1.544,603.32,0.12305650430435779
fin_phonL%,0.262,0.181,-0.092,0.616,1.449,604.4,0.14791698049677188
prompt2,-0.05,0.122,-0.289,0.189,-0.411,603.04,0.6809780942591659
prompt3,0.044,0.123,-0.196,0.285,0.363,603.1,0.7170824218345999
acc_phonL\*\^\[H]:modeMWH,-0.303,1.272,-2.797,2.19,-0.238,603.05,0.8117692295720131
acc_phon\^\[L\*]H:modeMYN,-0.696,1.02,-2.695,1.304,-0.682,603.01,0.49560673206713945
acc_phonL\*\^\[H]:modeMYN,-1.337,0.642,-2.594,-0.079,-2.083,603.05,0.03768626515010416
acc_phon\^\[L\*H]:modeMYN,-1.706,0.34,-2.372,-1.04,-5.021,603.29,6.765217554382739e-7
