code,problem
M9_A1231_1,foot count
M9_A1231_7,foot count
M8_A1231_2,foot count
M8_A1231_3,foot count
M8_A1231_4,foot count
M8_A1231_5,foot count
M8_A1211_2,foot count
M8_A1211_4,foot count
M8_A1211_5,foot count
M8_A1211_6,foot count
M8_A1211_7,foot count
M8_A1211_3,foot count
M5_A1231_2,foot count
M5_A1231_3,foot count
F5_A1111_3,foot count
F15_A1231_1,foot count
F15_A1231_2,foot count
F15_A1231_3,foot count
F15_A1231_4,foot count
F15_A1231_5,foot count
M9_A1231_2,meter
M9_A1231_3,meter
M9_A0423_1,meter
M9_A0423_3,meter
M9_A0423_2,meter
M9_A0423_5,meter
M9_A0423_4,meter
M8_A1231_1,meter
M8_A0423_1,meter
M8_A0423_5,meter
M4_A0423_2,meter
M4_A0423_3,meter
M4_A0423_5,meter
M4_A0423_4,meter
M10_A0423_1,meter
F17_A1231_2,meter
F17_A1231_3,meter
F17_A1231_5,meter
F17_A1231_6,meter
F17_A0423_3,meter
F17_A0423_4b,meter
F17_A0423_5,meter
F12_A0423_1,meter
F12_A0423_3,meter
F12_A0423_5,meter
