,holm,hochberg,hommel,bonferroni,BH,BY,none,,
1,1,1,1,1,0.762707692,1,0.6197,,
2,1,1,1,1,0.423117757,1,0.3144,,
3,1,1,1,1,0.533185714,1,0.4147,,
4,1,1,1,1,1,1,0.9021,,
5,1,1,1,1,1,1,0.9274,,
6,1,1,1,1,0.403337143,1,0.2941,,
7,0.03559296,0.03559296,0.0328848,0.05571072,0.001051146,0.005834381,0.00038688,,
8,0.02438592,0.02438592,0.02235376,0.03657888,0.000746508,0.004143489,0.00025402,,
9,1,1,1,1,0.964682927,1,0.824,,
10,1,1,1,1,0.738744828,1,0.5951,,
11,1,1,1,1,0.272145455,1,0.1871,,
12,1,1,1,1,0.500596364,1,0.3824,,
13,0.0496056,0.0496056,0.0456597,0.0811728,0.001424084,0.007904375,0.0005637,,
14,0.00262808,0.00262808,0.002527,0.00363888,8.71E-05,0.000483355,2.53E-05,,
15,0.1968,0.1968,0.1656,0.3456,0.005485714,0.030448442,0.0024,,
16,0.1176,0.1176,0.1022,0.2016,0.003304918,0.018343938,0.0014,,
17,8.92E-09,8.92E-09,8.78E-09,9.73E-09,7.48E-10,4.15E-09,6.75E-11,,
18,0.1118,0.1105,0.0962,0.1872,0.00312,0.017317551,0.0013,,
19,0.3942,0.3942,0.3402,0.7776,0.0108,0.059945369,0.0054,,
20,0.7797,0.7772,0.6844,1,0.021415385,0.118866032,0.0116,,
21,1,1,1,1,0.83749916,1,0.6921,,
22,1,1,1,1,0.594189474,1,0.4704,,
23,1,1,1,1,0.311382178,1,0.2184,,
24,1,1,1,1,1,1,0.9339,,
25,0.3525,0.3478,0.3008,0.6768,0.009532394,0.052909528,0.0047,,
26,0.0457641,0.0457641,0.04169618,0.07322256,0.001331319,0.007389484,0.00050849,,
27,0.8052,0.8052,0.7198,1,0.022237975,0.123431816,0.0122,,
28,0.03306356,0.03271182,0.03024964,0.05065056,0.000974049,0.005406457,0.00035174,,
29,1.52E-08,1.52E-08,1.51E-08,1.68E-08,1.12E-09,6.22E-09,1.17E-10,,
30,0.7797,0.7684,0.6667,1,0.021132468,0.117295701,0.0113,,
31,1,1,1,1,0.125327473,0.695629781,0.0792,,
32,0.208,0.208,0.1768,0.3744,0.00576,0.031970864,0.0026,,
33,0.01981419,0.01981419,0.01797576,0.02941488,0.00061281,0.0034014,0.00020427,,
34,0.3354,0.3311,0.2752,0.6192,0.009105882,0.050542174,0.0043,,
35,1.30E-05,1.30E-05,1.28E-05,1.62E-05,5.57E-07,3.09E-06,1.12E-07,,
36,0.1743,0.1743,0.147,0.3024,0.004877419,0.027072102,0.0021,,
37,7.04E-12,7.04E-12,6.94E-12,7.19E-12,1.60E-12,8.89E-12,4.99E-14,,
38,1,1,1,1,0.042352941,0.23507988,0.025,,
39,1,1,1,1,0.065875862,0.365643786,0.0398,,
40,1.91E-06,1.91E-06,1.88E-06,2.27E-06,9.48E-08,5.26E-07,1.58E-08,,
41,2.20E-08,2.20E-08,2.18E-08,2.45E-08,1.53E-09,8.50E-09,1.70E-10,,
42,0.2025,0.2025,0.1702,0.36,0.005625,0.031221547,0.0025,,
43,1,1,1,1,1,1,0.9676,,
44,2.76E-07,2.74E-07,2.67E-07,3.15E-07,1.58E-08,8.75E-08,2.19E-09,,
45,4.31E-08,4.31E-08,4.31E-08,4.85E-08,2.85E-09,1.58E-08,3.37E-10,,
46,3.02E-10,3.02E-10,2.98E-10,3.18E-10,3.62E-11,2.01E-10,2.21E-12,,
47,0.2765,0.2765,0.231,0.504,0.007636364,0.042385615,0.0035,,
48,0,0,0,0,0,0,0,,
49,9.34E-12,9.27E-12,9.27E-12,9.61E-12,1.60E-12,8.89E-12,6.67E-14,,
