gender,mode,acc_phon,phr_phon,fin_phon,l_grand_mean_t,h_grand_mean_t,l_f0_z,h_f0_z,e_f0_z,f0_exc_z,e_f0_exc_z,lh_slope
F,MDC,L*H,% H* L*H %,%,84,289,-0.7677935943060494,1.741103202846978,1.5038552787663102,2.508896797153027,-0.23724792408066775,48.113
F,MDC,L*H,% H* L*H %,%,78,281,-0.5631672597864772,1.610616844602609,1.3615065243179147,2.173784104389086,-0.24911032028469426,40.488
F,MDC,L*H,% H* L*H %,%,104,307,-0.6017200474495837,1.1983985765124545,0.9878410438908669,1.8001186239620384,-0.2105575326215876,34.474
F,MDC,L*H,% H* L*H %,%,90,308,-0.48902728351126956,1.4653024911032035,1.1123962040332163,1.954329774614473,-0.3529062870699873,36.94
F,MDC,L*H,% H* L*H %,%,79,291,-0.4059905100830367,1.5928232502965627,1.5364768683274015,1.9988137603795995,-0.0563463819691612,37.839
F,MDC,L*H,% H* L*H %,%,118,261,-1.8858244365361787,0.18416370106761842,-0.0827402135231306,2.069988137603797,-0.266903914590749,64.596
F,MDC,L*H,% (*) L*H %,%,104,258,-1.9658956109134018,0.3354092526690392,0.17230130486358336,2.301304863582441,-0.16310794780545584,67.498
F,MDC,L*H,% (*) L*H %,%,86,257,-1.8680308422301284,0.569691577698697,0.03884934756820885,2.4377224199288254,-0.5308422301304883,65.263
F,MDC,L*H,% (*) L*H %,%,118,270,-1.8561684460260974,0.6082443653618037,0.3116844602609733,2.464412811387901,-0.2965599051008304,77.255
F,MDC,L*H,% (*) L*H %,%,98,247,-1.8472716488730723,0.8603202846975078,0.41251482799525663,2.70759193357058,-0.44780545670225114,85.865
F,MDC,L*H,% H* L*H L%,L%,104,326,-1.0910438908659557,0.5281731909845807,-1.1384934756820875,1.6192170818505365,-1.6666666666666683,28.706
F,MDC,L*H,% H* L*H L%,L%,89,309,-0.9397983392645306,1.0530842230130493,-1.2452550415183863,1.9928825622775799,-2.2983392645314353,35.949
